dataset_id,dataset_name,platform,modality,is_spatial,species,tissue,disease,perturbation,n_samples,data_access_link,download_url,data_downloadable,original_publication,original_publication_link,original_publication_year,first_published_by_model_paper,candidate_accessions,notes
liao2023_stereo_2,Mouse thymus slice dataset,Stereo-CITE-seq,spatial transcriptomics,no,Mouse,Thymus,,,,,,,"Liao et al., Stereo-CITE-seq for spatial multi-omics transcriptomics and proteomics, bioRxiv (2023)",,2023,no,,original publication link unresolved (Crossref miss)
qiu2024_scrnaseq,scRNA-seq reference for mouse embryo,scRNA-seq,,no,mouse,embryo,,,,https://omg.gs.washington.edu/,,,"Qiu et al., A single-cell time-lapse of mouse prenatal development from gastrula to birth, Nature (2024)",,2024,no,,original publication link unresolved (Crossref miss)
qiu2021_scrnaseq,scRNA-seq dataset,scRNA-seq,,no,human,femoral head,,,,GSE169396,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE169396&format=file,,"Qiu et al., Single-cell RNA sequencing of human femoral head in vivo, Aging (Albany NY) (2021)",,2021,no,,original publication link unresolved (Crossref miss)
kamath2022_snrnaseq,Human postmortem snRNA-seq data,snRNA-seq,,no,human,caudate nucleus,,,,GSE178265,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178265/suppl/GSE178265_Tupaia_features.tsv.gz,,"Kamath et al., Single-cell genomic profiling of human dopamine neurons identifies a population that selectively degenerates in Parkinson’s disease, Nat. Neurosci. (2022)",https://doi.org/10.3410/f.742115667.793594170,2022,no,,
kanemaru2023_10x_genomics,Human heart,10x Genomics Multiome ATAC and Gene Expression,,no,human,heart,,,,,,,"Kanemaru et al., Spatially resolved multiomics of human cardiac niches, Nature (2023)",https://doi.org/10.1038/s44161-023-00327-6,2023,no,,
zhu2023_10x_genomics,Human cerebral cortex,10x Genomics Multiome ATAC and Gene Expression,,no,human,cerebral cortex,,,,,,,"Zhu et al., Multi-omic profiling of the developing human cerebral cortex at the single-cell level, Sci Adv (2023)",https://doi.org/10.1126/sciadv.adg3754,2023,no,,
nagy2020_10x_chromium,Human DLPFC reference single-nucleus dataset,10x Chromium,,no,Human,Dorsolateral prefrontal cortex (brain),,,,,,,"Nagy et al., Single-nucleus transcriptomics of the prefrontal cortex in major depressive disorder implicates oligodendrocyte precursor cells and excitatory neurons, Nat Neurosci (2020)",https://doi.org/10.3410/f.737829927.793575795,2020,no,,
peng2019_10x_chromium,PDAC-Peng scRNA-seq dataset,10x Chromium,,no,Human,Pancreatic ductal adenocarcinoma,,,,,,,"Peng et al., Single-cell RNA-seq highlights intra-tumoral heterogeneity and malignant progression in pancreatic ductal adenocarcinoma, Cell Res (2019)",,2019,no,,original publication link unresolved (Crossref miss)
tepe2018_10x_chromium,Mouse olfactory bulb scRNA-seq dataset,10x Chromium,,no,Mouse,Olfactory bulb,,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121891,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121891/suppl/GSE121891_OB_6_runs_processed_seurat.dge.csv.gz,,"Tepe et al., Single-cell RNA-seq of mouse olfactory bulb reveals cellular heterogeneity and activity-dependent molecular census of adult-born neurons, Cell Rep (2018)",https://doi.org/10.1016/j.celrep.2018.11.034,2018,no,,"accession GSE121891 found in the original publication (sole accession in that paper), verified live"
fresh_frozen_pro_iss,Fresh frozen prostate cancer tissue slide,TMT-based quantitative mass spectrometry with direct on-site tissue-protein-labeling (SPOT),spatial transcriptomics,no,mouse,brain,,,,,,,,,,yes,,original publication link unresolved (Crossref miss)
hodge2019_smartseq,Smart-seq human middle temporal gyrus dataset,Smart-seq,,no,Human,middle temporal gyrus,,,,,,,"Hodge et al., Conserved cell types with divergent features in human versus mouse cortex, Nature (2019)",https://doi.org/10.3410/f.736463800.793571577,2019,no,,
christoforou2016_quantitative,hyperLOPIT dataset,"quantitative mass spectrometry / hyperLOPIT (TMT 10-plex, SPS-MS3)",,no,Mus musculus,pluripotent embryonic stem cells (E14TG2a),,,,https://www.ebi.ac.uk/pride/archive/projects/PXD001279,,,"Christoforou et al., A draft map of the mouse pluripotent stem cell spatial proteome, Nat Commun. (2016)",https://doi.org/10.1038/ncomms9992,2016,no,,"accession PXD001279 found in the original publication (sole accession in that paper), verified live"
kleshchevnikov2022_scrnaseq,Human lymphoid tissues scRNA-seq dataset,scRNA-seq,,no,human,lymphoid tissues,,,,,,,"Kleshchevnikov et al., Cell2location maps fine-grained cell types in spatial transcriptomics, Nat Biotechnol (2022)",https://doi.org/10.1038/s41587-021-01139-4,2022,no,,
single_nuclei_rn_10x_chromium,Single-nuclei RNA sequencing dataset (G1-G3 gliomas),10X Chromium,,no,Human,Glioma (brain),,,,,,,,,,yes,,original publication link unresolved (Crossref miss)
wang2023_mass_spectro,Proteogenomics and multi-omics dataset of 213 glioma patients,Mass spectrometry proteomics and WES/RNA-seq,,no,Human,Diffuse gliomas (brain),,,,,,,"Wang et al., Proteogenomics of diffuse gliomas reveal molecular subtypes associated with specific therapeutic targets and immune-evasion mechanisms, Nat Commun (2023)",https://doi.org/10.1038/s41467-026-76428-0,2023,no,,
breckels2016_mass_spectro,E14TG2aR,mass spectrometry (LOPIT),,no,mouse,embryonic stem cells,,,,,,,"Breckels et al., Learning from Heterogeneous Data Sources: An Application in Spatial Proteomics, PLoS Comput Biol. (2016)",https://doi.org/10.1371/journal.pcbi.1004920,2016,no,,
tan2009_mass_spectro,tan2009r1,mass spectrometry,,no,Drosophila melanogaster,,,,,,,,"Tan et al., Mapping organelle proteins and protein complexes in Drosophila melanogaster, J Proteome Res. (2009)",https://doi.org/10.1021/pr800866n,2009,no,,
dunkley2006_mass_spectro,Root Callus dataset,mass spectrometry (LOPIT),,no,,Root Callus,,,,,,,"Dunkley et al., Mapping the Arabidopsis organelle proteome, Proc Natl Acad Sci U S A (2006)",https://doi.org/10.3410/f.1040272.489213,2006,no,,
groen2014_mass_spectro,Root dataset,mass spectrometry,,no,,Root tissue,,,,,,,"Groen et al., Identification of trans-golgi network proteins in Arabidopsis thaliana root tissue, J Proteome Res (2014)",https://doi.org/10.1021/pr4008464,2014,no,,
itzhak2016_mass_spectro,Human embryonic kidney fibroblast cells dataset,mass spectrometry,,no,,Fibroblast cells,,,,,,,"Itzhak et al., Global, quantitative and dynamic mapping of protein subcellular localization, Elife (2016)",https://doi.org/10.7554/elife.16950.025,2016,no,,
christoforou2016_mass_spectro,Mouse pluripotent stem cell dataset,mass spectrometry (hyper-LOPIT),,no,,Pluripotent stem cells,,,,https://www.ebi.ac.uk/pride/archive/projects/PXD001279,,,"Christoforou et al., A draft map of the mouse pluripotent stem cell spatial proteome, Nat Commun (2016)",https://doi.org/10.1038/ncomms9992,2016,no,,"accession PXD001279 found in the original publication (sole accession in that paper), verified live"
barylyuk2020_mass_spectro,Toxoplasma gondii hyperLOPIT dataset,mass spectrometry (hyper-LOPIT),,no,,Parasites grown in and purified from human foreskin fibroblasts,,,,,,,"Barylyuk et al., A comprehensive subcellular Atlas of the toxoplasma proteome via hyperLOPIT provides spatial context for protein functions, Cell Host Microbe (2020)",https://doi.org/10.3410/f.738830214.793582767,2020,no,,
lambrechts2018_scrnaseq,Human non-small-cell lung cancer scRNA-seq dataset,scRNA-seq,,no,human,lung tumor microenvironment,,,,,,,"Lambrechts et al., Phenotype molding of stromal cells in the lung tumor microenvironment, Nat. Med. (2018)",https://doi.org/10.1038/s41591-018-0096-5,2018,no,,
ding2020_scrnaseq,PBMC datasets,scRNA-seq,,no,human,peripheral blood mononuclear cells,,,,,,,"Ding et al., Systematic comparison of single-cell and single-nucleus RNA-sequencing methods, Nat. Biotechnol. (2020)",,2020,no,,original publication link unresolved (Crossref miss)
tasic2016_smartseq2,Adult mouse cortex scRNA-seq dataset,Smart-seq2,,no,mouse,cortex,,,,,,,"Tasic et al., Adult mouse cortical cell taxonomy revealed by single cell transcriptomics, Nat. Neurosci. (2016)",https://doi.org/10.1038/nn.4216,2016,no,,
tirosh2016_smartseq2,Melanoma scRNA-seq dataset (Smart-seq2),Smart-seq2,,no,human,melanoma,,,,,,,"Tirosh et al., Dissecting the multicellular ecosystem of metastatic melanoma by single-cell RNA-seq, Science (2016)",https://doi.org/10.3410/f.726270532.793518916,2016,no,,
hodge2019_singlenucleu,snRNA-seq dataset from multiple human cortical areas,single-nucleus RNA-seq (snRNA-seq),,no,human,neocortical areas,,,,https://portal.brainmap.org/,,,"Hodge et al., Conserved cell types with divergent features in human versus mouse cortex, Nature (2019)",https://doi.org/10.3410/f.736463800.793571577,2019,no,,
jorstad2023_snrnaseq,BICCN neocortex dataset,snRNA-seq,,no,human,cerebral cortex,,,,,,,"Jorstad et al., Transcriptomic cytoarchitecture reveals principles of human neocortex organization, Science (2023)",https://doi.org/10.1126/science.adf6812,2023,no,,
chi2021_bulk_rnaseq,Murine liver bulk RNA-seq dataset,bulk RNA-seq,,no,mouse,liver,,,,GSE137385,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137385/suppl/GSE137385_readcount_genename.csv.gz,,"Chi et al., Comparative impact of dietary carbohydrates on the liver transcriptome in two strains of mice, Physiol. Genomics (2021)",https://doi.org/10.1152/physiolgenomics.00053.2021,2021,no,,
molinasnchez2020_bulk_rnaseq,Murine liver bulk RNA-seq dataset,bulk RNA-seq,,no,mouse,liver,,,,GSE148379,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE148379&format=file,,"Molina-Sánchez et al., Cooperation between distinct cancer driver genes underlies intertumor heterogeneity in hepatocellular carcinoma, Gastroenterology (2020)",https://doi.org/10.1053/j.gastro.2020.08.015,2020,no,,
tasic2018_smartseq,mouse brain cerebral cortex region dataset,Smart-seq,,no,mouse,brain cerebral cortex,,,,,,,"Tasic et al., Shared and distinct transcriptomic cell types across neocortical areas, Nature (2018)",,2018,no,,original publication link unresolved (Crossref miss)
lake2019_snrnaseq,human kidney snRNAseq dataset,snRNAseq,,no,human,kidney,,,,,,,"Lake et al., A single-nucleus RNA-sequencing pipeline to decipher the molecular anatomy and pathophysiology of human kidneys, Nat. Commun. (2019)",https://doi.org/10.1038/s41467-019-10861-2,2019,no,GSE107585; GSE109564; GSE114156,
andersson2021_microarray_t,HER2ST,microarray technology,,no,Homo Sapiens,breast cancer,,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144240,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE144240&format=file,,"Andersson et al., Spatial deconvolution of HER2-positive breast cancer delineates tumor-associated cell type interactions, Nat. Commun. (2021)",https://doi.org/10.1038/s41467-021-26271-2,2021,no,,"accession GSE144240 found in the original publication (sole accession in that paper), verified live"
bianco2019_rnaseq,Granulosa cell RNA-seq dataset,RNA-seq,,no,mouse,ovary,,,,,,,"Bianco et al., The Ovulatory Signal Precipitates LRH-1 Transcriptional Switching Mediated by Differential Chromatin Accessibility, Cell Rep (2019)",https://doi.org/10.1016/j.celrep.2019.07.088,2019,no,,
photon_datasets__illumina,"PHOTON datasets (GCs, nucleolus, stress granules)",Illumina,,no,mouse and human,ovary and cultured cells,,,,PRJNA1152621,,,,,,yes,,original publication link unresolved (Crossref miss)
grubman2019_snrnaseq,ENTI single-nuclei RNA sequencing (snRNA-seq) dataset,snRNA-seq,,no,human,entorhinal cortex,,,,GSE138852,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138852/suppl/GSE138852_covariates.csv.gz,,"Grubman et al., A single-cell atlas of entorhinal cortex from individuals with Alzheimer's disease reveals cell-type-specific gene expression regulation, Nat Neurosci (2019)",https://doi.org/10.1038/s41593-019-0539-4,2019,no,,
barrett2022_cellspecific,deep transcriptome / bulk sorted data,cell-specific FACS sorting / RNA-seq,,no,Caenorhabditis elegans,nervous system / select neuronal cell types,,,,,,,"Barrett et al., Integrating bulk and single cell RNA-seq refines transcriptomic profiles of specific C. elegans neurons, Genetics. bioRxiv (2022)",https://doi.org/10.7554/elife.106183.2.sa4,2022,no,,
faxp_mouse_and_h_mass_spectro,FAXP mouse and human colorectal cancer datasets,Mass Spectrometry,,no,Mouse and Human,"Liver, kidney, brain, and colorectal cancer FFPE tissues",,,,PXD041412,,,,,,yes,,original publication link unresolved (Crossref miss)
saunders2018_dropseq,Mouse cerebral cortex Drop-seq data,Drop-seq,,no,mouse,cerebral cortex,,,,http://dropviz.org/,,,"Saunders et al., Molecular Diversity and Specializations among the Cells of the Adult Mouse Brain, Cell (2018)",https://doi.org/10.3410/f.733788062.793555435,2018,no,,
single_cell_rna_2025_10x_chromium,Single-cell RNA sequencing data,10x Chromium Single Cell Gene Expression FLEX,,no,Human,Tumor tissue microarrays (tTMA1 and tTMA2),,,,GSE308148,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE308148&format=file,,Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues,https://doi.org/10.1038/s41467-025-64990-y,2025,yes,,
wu2021_citeseq,CITE-seq data of human breast cancer,CITE-seq,,no,human,breast cancer,,,,GSE176078,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE176078&format=file,,"Wu et al., A single-cell and spatially resolved atlas of human breast cancers, Nat. Genet. (2021)",,2021,no,,original publication link unresolved (Crossref miss)
madissoon2019_scrnaseq,Madissoon2020 (lung dataset),scRNA-seq,,no,human,"lung, spleen, esophagus",,,,https://www.ebi.ac.uk/ena/browser/api/xml/PRJEB31843,,,"Madissoon et al., scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation, Genome Biol. (2019)",https://doi.org/10.1186/s13059-019-1906-x,2019,no,,"accession PRJEB31843 found in the original publication (sole accession in that paper), verified live"
travaglini2020_scrnaseq,Krasnow2021 (lung dataset),scRNA-seq,,no,human,lung,,,,,,,"Travaglini et al., A molecular cell atlas of the human lung from single-cell RNA sequencing, Nature (2020)",,2020,no,,original publication link unresolved (Crossref miss)
madissoon2022_scrnaseq,Meyer2022 (lung dataset),scRNA-seq,,no,human,lung,,,,,,,"Madissoon et al., A spatially resolved atlas of the human lung characterizes a gland-associated immune niche, Nat. Genet. (2022)",https://doi.org/10.3410/f.742461622.793599127,2022,no,,
litviukov2020_snrnaseq,Litvinukova2020 (heart dataset),snRNA-seq,,no,human,heart,,,,,,,"Litviňuková et al., Cells of the adult human heart, Nature (2020)",,2020,no,,original publication link unresolved (Crossref miss)
consortium2020_scrnaseq,Tabula Muris Senis atlas,scRNA-seq,,no,mouse,multiple organs,,,,,,,"Consortium et al., A single-cell transcriptomic atlas characterizes ageing tissues in the mouse, Nature (2020)",,2020,no,,original publication link unresolved (Crossref miss)
sikkema2023_scrnaseq,Human Lung Cell Atlas (HLCA),scRNA-seq,,no,human,lung,,,,,,,"Sikkema et al., An integrated cell atlas of the lung in health and disease, Nat. Med. (2023)",,2023,no,,original publication link unresolved (Crossref miss)
domnguez2022_scrnaseq,immune cell atlas,scRNA-seq,,no,human,multiple tissues,,,,,,,"Domínguez Conde et al., Cross-tissue immune cell analysis reveals tissue-specific features in humans, Science (2022)",https://doi.org/10.3410/f.742140360.793593193,2022,no,,
macparland2018_scrnaseq,liver dataset,scRNA-seq,,no,human,liver,,,,,,,"MacParland et al., Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations, Nat. Commun. (2018)",,2018,no,,original publication link unresolved (Crossref miss)
park2020_scrnaseq,thymus dataset,scRNA-seq,,no,human,thymus,,,,,,,"Park et al., A cell atlas of human thymic development defines T cell repertoire formation, Science (2020)",https://doi.org/10.3410/f.737403297.793573413,2020,no,,
yao2021_scrnaseq,primary motor cortex dataset,scRNA-seq,,no,mouse,primary motor cortex,,,,,,,"Yao et al., A transcriptomic and epigenomic cell atlas of the mouse primary motor cortex, Nature (2021)",,2021,no,,original publication link unresolved (Crossref miss)
triana2021_scrnaseq_pr,bone marrow atlas,scRNA-seq / proteomics,,no,human,bone marrow,,,,,,,"Triana et al., Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states, Nat. Immunol. (2021)",https://doi.org/10.1101/2021.03.18.435922,2021,no,,
consortium2022_scrnaseq,Tabula Sapiens atlas,scRNA-seq,,no,human,multiple organs,,,,,,,"Consortium et al., The Tabula Sapiens: a multiple-organ, single-cell transcriptomic atlas of humans, Science (2022)",,2022,no,,original publication link unresolved (Crossref miss)
han2020_scrnaseq,human cell landscape dataset,scRNA-seq,,no,human,multiple tissues,,,,,,,"Han et al., Construction of a human cell landscape at single-cell level, Nature (2020)",https://doi.org/10.3410/f.737616688.793575841,2020,no,,
kolabas2023_scrnaseq,skull bone marrow dataset,scRNA-seq,,no,mouse,skull bone marrow,,,,,,,"Kolabas et al., Distinct molecular profiles of skull bone marrow in health and neurological disorders, Cell (2023)",,2023,no,,original publication link unresolved (Crossref miss)
hodge2019_smartseq_snr,human brain SMART-seq dataset,SMART-seq (snRNA-seq),,no,human,cortex,,,,,,,"Hodge et al., Conserved cell types with divergent features in human versus mouse cortex, Nature (2019)",https://doi.org/10.3410/f.736463800.793571577,2019,no,,
gast_seq_dataset2019_st,"GaST-seq dataset (Arabidopsis thaliana leaf lateral cross-sections, wounding time-series, flg22 infiltration/droplet spotting, Albugo laibachii infection)",Illumina HiSeq2500 / NextSeq 500 / HiSeq 4000 (GaST-seq),,no,Arabidopsis thaliana,Leaf,,,,,,,Spatially resolved transcriptomics reveals plant host responses to pathogens,https://doi.org/10.1186/s13007-019-0498-5,2019,yes,,
human_liver_scdv_st,human liver scDVP dataset,Orbitrap Astral mass spectrometer,,no,human,liver,,,,,,,,,,yes,,original publication link unresolved (Crossref miss)
sinnamon2019_sciatacseq,Mouse hippocampus sci-ATAC-seq dataset,sci-ATAC-seq,,no,Mouse,Hippocampus,,,,GSE118987,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE118987&format=file,,"Sinnamon et al., The accessible chromatin landscape of the murine hippocampus at single-cell resolution, Genome Res. (2019)",https://doi.org/10.1101/gr.243725.118,2019,no,,
nguyen2020_snrnaseq,AD snRNA-seq dataset,snRNA-seq,,no,human,middle frontal neocortex,,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118257,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118257/suppl/GSE118257_MSCtr_snRNA_FinalAnnotationTable.txt.gz,,"Nguyen et al., APOE and TREM2 regulate amyloid-responsive microglia in Alzheimer’s disease, Acta Neuropathol. (2020)",https://doi.org/10.1007/s00401-020-02200-3,2020,no,,"accession GSE118257 found in the original publication (sole accession in that paper), verified live"
yao2021_scrnaseq_2,mouse brain scRNA-seq dataset,scRNA-seq,,no,mouse,isocortex and hippocampal formation,,,,,,,"Yao et al., A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation, Cell (2021)",https://doi.org/10.1101/2020.03.30.015214,2021,no,,
seq_and_3d_storm2016_st,τ-seq and 3D-STORM imaging dataset,3D-STORM and Illumina HiSeq2000 / NextSeq500,,no,Escherichia coli,E. coli cells,,,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75818,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75818/suppl/GSE75818_WTKasRep2.csv.gz,,Spatial organization shapes the turnover of a bacterial transcriptome,https://doi.org/10.7554/eLife.13065.029,2016,yes,,
wu2021_singlecell_r,Primary breast cancer scRNA-seq dataset (CID4530N and CID4535),Single-cell RNA-seq (scRNA-seq),,no,Human,Primary breast cancer,,,,https://ega-archive.org/datasets/EGAD00001007495,,,"Wu et al., A single-cell and spatially resolved atlas of human breast cancers, Nat Genet (2021)",,2021,no,,original publication link unresolved (Crossref miss)
karaiskos2017_scrnaseq,Human embryonic cerebral cortex frontal and parietal lobe scRNA-seq dataset,scRNA-seq,,no,Human,Cerebral cortex frontal and parietal lobe,,,,GSE103723,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE103723&format=file,,"Karaiskos et al., The Drosophila embryo at single-cell transcriptome resolution, Science (2017)",,2017,no,,original publication link unresolved (Crossref miss)
park2018_scrnaseq,mouse scRNA-seq dataset,scRNA-seq,,no,mouse,kidney,,,,GSE107585,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107585/suppl/GSE107585_Mouse_kidney_single_cell_datamatrix.txt.gz,,"Park et al., Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease, Science (2018)",https://doi.org/10.3410/f.732995092.793549396,2018,no,,
pbhl_seq_dataset_illumina_his,PBHL-seq dataset generated in this study,Illumina HiSeq 1500,,no,Mouse and human,"Mouse embryo, mouse brain, and HeLa/293T/3T3 cell cultures",,,,GSE268148,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE268148&format=file,,,,,yes,,original publication link unresolved (Crossref miss)
braun2023_scrnaseq,"Braun et al., 2023 dataset",scRNA-seq,,no,human,brain,,,,https://github.com/linnarsson-lab/developing-human-brain/,,,"Braun et al., Comprehensive cell atlas of the first-trimester developing human brain, Science (2023)",https://doi.org/10.1126/science.adf1226,2023,no,,
bartholomus2016_rnasequencin,E. coli bulk RNA-sequencing data,RNA-sequencing,,no,Escherichia coli,liquid culture,,,,,,,"Bartholomäus et al., Bacteria differently regulate mRNA abundance to specifically respond to various stresses, Philos. Trans. A Math. Phys. Eng. Sci. (2016)",https://doi.org/10.1098/rsta.2015.0069,2016,no,,
eraslan2022_snrnaseq,GTEx mammary tissue snRNAseq dataset (GTEX-1R9PN),snRNAseq,,no,human,mammary tissue,,,,https://www.gtexportal.org/home/downloads/adult-gtex/single_cell,,,"Eraslan et al., Single-nucleus cross-tissue molecular reference maps toward understanding disease gene function, Science (2022)",https://doi.org/10.1126/science.abl4290,2022,no,,
schmitz2012_illumina_gen,RNA-Seq dataset SRR387395 (SRP009316),Illumina Genome Analyzer IIx,,no,Human,B-cell lymphoma (Ramos cell line),,,,http://www.ncbi.nlm.nih.gov/sra/SRX105534,,,"Schmitz et al., Burkitt lymphoma pathogenesis and therapeutic targets from structural and functional genomics, Nature (2012)",https://doi.org/10.3410/f.717954415.793470130,2012,no,,
zheng2017_10x_scrnaseq,Adult Mouse Brain (FFPE) dataset,10x scRNA-seq platform,,no,mouse,brain,,,,https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-ffpe-1standard-1-3-0,,,"Zheng et al., Massively parallel digital transcriptional profiling of single cells, Nat Commun (2017)",https://doi.org/10.3410/f.727212325.793533466,2017,no,,
nova_st_data_mou_st,Nova-ST Data (Mouse Brain),Illumina NovaSeq 6000 S4 flow cell (Nova-ST),spatial transcriptomics,no,Mouse,Brain,,,,GSE256318,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE256318&format=file,,,,,yes,,original publication link unresolved (Crossref miss)
yao2021_10x_genomics,10X Genomics and SMART-seq2 (Mouse Brain),10X Genomics / SMART-seq2,,no,Mouse,Brain / Cortex and Hippocampus,,,,https://portal.brain-map.org/atlases-and-data/rnaseq/mouse-whole-cortex-and-hippocampus-10x,,,"Yao et al., A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation, Cell (2021)",https://doi.org/10.1101/2020.03.30.015214,2021,no,,
deep_visual_prot_st,Deep Visual Proteomics (DVP) dataset,timsTOF SCP mass spectrometer,,no,human,ovary,,,,,,,,,,yes,,original publication link unresolved (Crossref miss)
scrna_seq_refere_chromium_sin,scRNA-seq reference dataset,Chromium Single Cell Gene Expression Flex,,no,Human,Colorectal cancer and normal adjacent tissue,,,,,,,,,,yes,,original publication link unresolved (Crossref miss)
