dataset_id,dataset_name,platform,tissue,candidate_accession,found_in,n_candidates_in_paper,source_doi,paperclip_doc,current_access_link
slide_seqv2_spat2025_slideseq,Slide-seqV2 spatial single cell RNA sequencing dataset,Slide-seq V2,coronary artery and aorta,GSE35985,body,5,10.1016/j.xgen.2025.101034,PMC12802643,Mendeley Data: 10.17632/bk6wr6dk2k.1
slide_seqv2_spat2025_slideseq,Slide-seqV2 spatial single cell RNA sequencing dataset,Slide-seq V2,coronary artery and aorta,GSE69539,body,5,10.1016/j.xgen.2025.101034,PMC12802643,Mendeley Data: 10.17632/bk6wr6dk2k.1
slide_seqv2_spat2025_slideseq,Slide-seqV2 spatial single cell RNA sequencing dataset,Slide-seq V2,coronary artery and aorta,phs001672,body,5,10.1016/j.xgen.2025.101034,PMC12802643,Mendeley Data: 10.17632/bk6wr6dk2k.1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,10.5281/zenodo.5177185,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,data.mendeley.com/datasets/43ky5by55m/1,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,data.mendeley.com/datasets/4hx2cj4j67/1,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,data.mendeley.com/datasets/4rrggzv5d5/1,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,data.mendeley.com/datasets/63m34hg3pt/1,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,data.mendeley.com/datasets/dfyvhrh4cd/1,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,data.mendeley.com/datasets/dsn9kggdpx/1,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,data.mendeley.com/datasets/mkc37w4rrv/1,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,data.mendeley.com/datasets/mrbjz83xf6/1,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
spinalj_example_2021_unknown,SpinalJ example dataset: processed files,,spinal cord,data.mendeley.com/datasets/xdj4kxkvnp/1,body,10,10.1016/j.xpro.2021.100897,PMC8605391,https://data.mendeley.com/datasets/43ky5by55m/1
macsima_imaging_2025_st,MACSima imaging data and mass spectrometry proteomics data,MACSima and timsTOF SCP,Tonsil cancer,10.17632/5bnrpkwkx9.1,body,3,10.1016/j.xpro.2025.103901,PMC12221282,PRIDE: PXD057118; BioImage Archive: S-BIAD1116
macsima_imaging_2025_st,MACSima imaging data and mass spectrometry proteomics data,MACSima and timsTOF SCP,Tonsil cancer,PXD057118,body,3,10.1016/j.xpro.2025.103901,PMC12221282,PRIDE: PXD057118; BioImage Archive: S-BIAD1116
macsima_imaging_2025_st,MACSima imaging data and mass spectrometry proteomics data,MACSima and timsTOF SCP,Tonsil cancer,S-BIAD1116,body,3,10.1016/j.xpro.2025.103901,PMC12221282,PRIDE: PXD057118; BioImage Archive: S-BIAD1116
rodrguezpieiro2012_spatial_prot,rodriguez2012r1,Spatial proteomics,Inducible goblet-like LS174T cells,SRP75,body,1,10.1021/pr2010988,PMC3292267,
zhu2018_seqfish,Mouse visual cortex seqFISH dataset,seqFISH,visual cortex,GSE71585,body,1,10.1038/nbt.4260,PMC6488461,https://bitbucket.org/qzhu/smfish-hmrf/src/master/
cebola2015_rnaseq,Human embryonic pancreatic progenitor RNA-seq,RNA-seq,pancreas,E-MTAB-3061,body,1,10.1038/ncb3160,PMC4434585,E-MTAB-3061
nichterwitz2016_lcmseq,LCM-seq dataset 1,LCM-seq,,GSE52564,body,2,10.1038/ncomms12139,PMC4941116,
nichterwitz2016_lcmseq,LCM-seq dataset 1,LCM-seq,,GSE76514,body,2,10.1038/ncomms12139,PMC4941116,
christoforou2016_hyper_lopit,mouse pluripotent embryonic stem cells (Christoforou et al.),hyper LOPIT (TMT 10-plex),pluripotent embryonic stem cells (E14TG2a),PXD001279,body,1,10.1038/ncomms9992,PMC4729960,
christoforou2016_quantitative,hyperLOPIT dataset,"quantitative mass spectrometry / hyperLOPIT (TMT 10-plex, SPS-MS3)",pluripotent embryonic stem cells (E14TG2a),PXD001279,body,1,10.1038/ncomms9992,PMC4729960,
christoforou2016_mass_spectro,Mouse pluripotent stem cell dataset,mass spectrometry (hyper-LOPIT),Pluripotent stem cells,PXD001279,body,1,10.1038/ncomms9992,PMC4729960,
tasic2016_visium,Mouse brain sagittal data (anterior + posterior),10X Visium,brain,GSE71585,body,4,10.1038/nn.4216,PMC4985242,https://www.10xgenomics.com/cn/resources/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-0-0
tasic2016_smartseq2,Adult mouse cortex scRNA-seq dataset,Smart-seq2,cortex,GSE71585,body,4,10.1038/nn.4216,PMC4985242,
tasic2016_scrnaseq,VISp scRNA-seq,scRNA-seq,Primary visual cortex,GSE71585,body,4,10.1038/nn.4216,PMC4985242,GSE115746
tasic2016_visium,Mouse brain sagittal data (anterior + posterior),10X Visium,brain,GSM1839192,body,4,10.1038/nn.4216,PMC4985242,https://www.10xgenomics.com/cn/resources/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-0-0
tasic2016_smartseq2,Adult mouse cortex scRNA-seq dataset,Smart-seq2,cortex,GSM1839192,body,4,10.1038/nn.4216,PMC4985242,
tasic2016_scrnaseq,VISp scRNA-seq,scRNA-seq,Primary visual cortex,GSM1839192,body,4,10.1038/nn.4216,PMC4985242,GSE115746
tasic2016_visium,Mouse brain sagittal data (anterior + posterior),10X Visium,brain,GSM1839193,body,4,10.1038/nn.4216,PMC4985242,https://www.10xgenomics.com/cn/resources/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-0-0
tasic2016_smartseq2,Adult mouse cortex scRNA-seq dataset,Smart-seq2,cortex,GSM1839193,body,4,10.1038/nn.4216,PMC4985242,
tasic2016_scrnaseq,VISp scRNA-seq,scRNA-seq,Primary visual cortex,GSM1839193,body,4,10.1038/nn.4216,PMC4985242,GSE115746
tasic2016_visium,Mouse brain sagittal data (anterior + posterior),10X Visium,brain,GSM1839194,body,4,10.1038/nn.4216,PMC4985242,https://www.10xgenomics.com/cn/resources/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-0-0
tasic2016_smartseq2,Adult mouse cortex scRNA-seq dataset,Smart-seq2,cortex,GSM1839194,body,4,10.1038/nn.4216,PMC4985242,
tasic2016_scrnaseq,VISp scRNA-seq,scRNA-seq,Primary visual cortex,GSM1839194,body,4,10.1038/nn.4216,PMC4985242,GSE115746
visium_spatial_g2023_visium_3,Visium Spatial Gene Expression dataset,Visium Spatial Gene Expression system (10x Genomics),mineralized adult long bone (femur),GSE128423,body,9,10.1038/s41413-023-00298-1,PMC10625929,
visium_spatial_g2023_visium_3,Visium Spatial Gene Expression dataset,Visium Spatial Gene Expression system (10x Genomics),mineralized adult long bone (femur),GSE145477,body,9,10.1038/s41413-023-00298-1,PMC10625929,
visium_spatial_g2023_visium_3,Visium Spatial Gene Expression dataset,Visium Spatial Gene Expression system (10x Genomics),mineralized adult long bone (femur),GSM3674243,body,9,10.1038/s41413-023-00298-1,PMC10625929,
visium_spatial_g2023_visium_3,Visium Spatial Gene Expression dataset,Visium Spatial Gene Expression system (10x Genomics),mineralized adult long bone (femur),GSM3674244,body,9,10.1038/s41413-023-00298-1,PMC10625929,
visium_spatial_g2023_visium_3,Visium Spatial Gene Expression dataset,Visium Spatial Gene Expression system (10x Genomics),mineralized adult long bone (femur),GSM3674245,body,9,10.1038/s41413-023-00298-1,PMC10625929,
visium_spatial_g2023_visium_3,Visium Spatial Gene Expression dataset,Visium Spatial Gene Expression system (10x Genomics),mineralized adult long bone (femur),GSM3674246,body,9,10.1038/s41413-023-00298-1,PMC10625929,
visium_spatial_g2023_visium_3,Visium Spatial Gene Expression dataset,Visium Spatial Gene Expression system (10x Genomics),mineralized adult long bone (femur),GSM4318799,body,9,10.1038/s41413-023-00298-1,PMC10625929,
visium_spatial_g2023_visium_3,Visium Spatial Gene Expression dataset,Visium Spatial Gene Expression system (10x Genomics),mineralized adult long bone (femur),GSM4318800,body,9,10.1038/s41413-023-00298-1,PMC10625929,
visium_spatial_g2023_visium_3,Visium Spatial Gene Expression dataset,Visium Spatial Gene Expression system (10x Genomics),mineralized adult long bone (femur),GSM4318801,body,9,10.1038/s41413-023-00298-1,PMC10625929,
hallal2024_visium,Human Glioblastoma,10x Visium,glioblastoma,PXD046511,body,1,10.1038/s41416-023-02548-9,PMC10912426,https://support.10xgenomics.com/spatial-gene-expression/datasets
mouse_placentati2024_stereo,Mouse Placentation Spatiotemporal Transcriptomic Atlas (MPSTA),Stereo-seq,Uterine segments / placenta,GSE156125,body,1,10.1038/s41421-024-00740-6,PMC11496649,https://db.cngb.org/stomics/mpsta/
berglund2018_unknown,prostate cancer dataset,,prostate cancer,EGAS0000100300,body,1,10.1038/s41467-018-04724-5,PMC6010471,
berglund2018_spatial_tran,spatial transcriptomics prostate cancer data,Spatial Transcriptomics,prostate,EGAS0000100300,body,1,10.1038/s41467-018-04724-5,PMC6010471,https://www.spatialresearch.org/resources-published-datasets/
berglund2018_st,Human prostate cancer slice,Legacy ST,Prostate cancer,EGAS0000100300,body,1,10.1038/s41467-018-04724-5,PMC6010471,
lake2019_snrnaseq,human kidney snRNAseq dataset,snRNAseq,kidney,GSE107585,body,3,10.1038/s41467-019-10861-2,PMC6597610,
lake2019_snrnaseq,human kidney snRNAseq dataset,snRNAseq,kidney,GSE109564,body,3,10.1038/s41467-019-10861-2,PMC6597610,
lake2019_snrnaseq,human kidney snRNAseq dataset,snRNAseq,kidney,GSE114156,body,3,10.1038/s41467-019-10861-2,PMC6597610,
mantri2021_spatial_tran,Developing chicken heart dataset,Spatial Transcriptomics,heart,10.5281/zenodo.4517120,body,1,10.1038/s41467-021-21892-z,PMC7979764,
mantri2021_unknown,Day 14 Chicken Heart dataset,,heart,10.5281/zenodo.4517120,body,1,10.1038/s41467-021-21892-z,PMC7979764,
sanchezferras2021_spatial_tran,Urinary tract development dataset,Spatial Transcriptomics,kidney,GSE143806,body,3,10.1038/s41467-021-22931-5,PMC8113267,
sanchezferras2021_spatial_tran,Urinary tract development dataset,Spatial Transcriptomics,kidney,GSE160136,body,3,10.1038/s41467-021-22931-5,PMC8113267,
