dataset_id,dataset_name,platform,modality,is_spatial,species,tissue,disease,perturbation,n_samples,data_access_link,download_url,data_downloadable,original_publication,original_publication_link,original_publication_year,first_published_by_model_paper,candidate_accessions,notes
schulz2018simultaneous,Simultaneous multiplexed imaging of mRNA and proteins with subcellular resolution in breast cancer tissue samples by mass cytometry,IMC,spatial proteomics,yes,human,breast,breast cancer,,79,https://data.mendeley.com/datasets/m4b97v7myb/1,,yes (http 200),Simultaneous multiplexed imaging of mRNA and proteins with subcellular resolution in breast cancer tissue samples by mass cytometry,https://www.cell.com/fulltext/S2405-4712(17)30543-4,2018,no,,from the spora corpus (spora.epfl.ch)
schulz2024immucan,Multi-modal image analysis for large-scale cancer tissue studies within IMMUcan,IMC,spatial proteomics,yes,human,"colorectal, lung, head & neck, breast","colorectal, lung, head & neck, breast cancer",,179,https://zenodo.org/records/12912567,https://zenodo.org/api/records/12912567/files/all_images.rds/content,"yes (zenodo record, 7 files)",Multi-modal image analysis for large-scale cancer tissue studies within IMMUcan,https://www.cell.com/cell-reports-methods/fulltext/S2667-2375(25)00206-1,2024,no,,from the spora corpus (spora.epfl.ch)
schurch2020coordinated,Coordinated cellular neighborhoods orchestrate antitumoral immunity at the colorectal cancer invasive front,CODEX,spatial proteomics,yes,human,colorectal,colorectal cancer,,102,https://www.cancerimagingarchive.net/collection/crc_ffpe-codex_cellneighs/,,yes (http 200),Coordinated cellular neighborhoods orchestrate antitumoral immunity at the colorectal cancer invasive front,https://www.sciencedirect.com/science/article/pii/S0092867420308709?via%3Dihub,2020,no,,from the spora corpus (spora.epfl.ch)
xiao2022multiplexed,Multiplexed imaging mass cytometry reveals distinct tumor-immune microenvironments linked to immunotherapy responses in melanoma,IMC,spatial proteomics,yes,human,skin (melanoma),,,26,https://zenodo.org/records/6838169,https://zenodo.org/api/records/6838169/files/melanoma_IMC_data.zip/content,"yes (zenodo record, 3 files)",Multiplexed imaging mass cytometry reveals distinct tumor-immune microenvironments linked to immunotherapy responses in melanoma,https://www.nature.com/articles/s43856-022-00197-2,2022,no,,from the spora corpus (spora.epfl.ch)
zhuhuman2025spatial,Spatial and multiomics analysis of human and mouse lung adenocarcinoma precursors reveals TIM-3 as a putative target for precancer interception,IMC,spatial proteomics,yes,human,lung,lung cancer,,62,https://www.synapse.org/Synapse:syn54951674/wiki/626860,,yes (http 200),Spatial and multiomics analysis of human and mouse lung adenocarcinoma precursors reveals TIM-3 as a putative target for precancer interception,https://www.cell.com/cancer-cell/fulltext/S1535-6108(25)00162-X,2025,no,,from the spora corpus (spora.epfl.ch)
hubmap_spleen_thymus_codex,HuBMAP spleen and thymus CODEX,CODEX,spatial proteomics,yes,human,"spleen, thymus",,,,https://portal.hubmapconsortium.org/,,"no (link is a site root, not a dataset)",HuBMAP consortium (portal),https://portal.hubmapconsortium.org/,,no,,consortium resource
immunoatlas,ImmunoAtlas multiplexed imaging collection,multiplexed imaging,spatial proteomics,yes,human,various,,,,https://immunoatlas.org/,,"no (link is a site root, not a dataset)",ImmunoAtlas (portal),https://immunoatlas.org/,,no,,portal resource
ibex_zenodo_5244551,IBEX multiplexed imaging dataset,IBEX,spatial proteomics,yes,human,various,,,,https://zenodo.org/records/5244551,https://zenodo.org/api/records/5244551/files/Human_Lymph_Node_Automated_IBEX.ims/content,"yes (zenodo record, 14 files)",to resolve,,,no,,original publication to resolve from the Zenodo record
celldive_idr,Cell DIVE dataset (Image Data Resource),Cell DIVE,spatial proteomics,yes,human,various,,,,https://idr.openmicroscopy.org/,,"no (link is a site root, not a dataset)",to resolve,,,no,,original publication to resolve from the IDR entry
kronos_private_cohorts,"KRONOS private pretraining cohorts (Stanford, NIH-NIAID, U. Florida, BIDMC; ~42M cells)",multiplexed imaging,spatial proteomics,yes,human,various (16 tissue types),,,,,,,A Foundation Model for Spatial Proteomics,https://doi.org/10.48550/arXiv.2506.03373,2025,yes,,unreleased institutional data first described in the KRONOS paper
shaban2024_chl_codex,Classical Hodgkin lymphoma CODEX (>134k annotated cells),CODEX,spatial proteomics,yes,human,lymph node,classical Hodgkin lymphoma,,,,,,"Shaban et al. (MAPS), Nature Communications 15, 28 (2024)",https://doi.org/10.1038/s41467-023-44188-w,2024,no,,
yeo2024_dlbcl_multiomics,"DLBCL multiplexed imaging cohorts (DLBCL-1 >361k, DLBCL-2 >1M annotated cells)",multiplexed imaging,spatial proteomics,yes,human,lymph node,diffuse large B-cell lymphoma,,,https://zenodo.org/api/records/4909620,https://zenodo.org/api/records/4909620/files/mantis-viewer-1.2.0-beta.1.AppImage/content,,"Yeo et al., bioRxiv (2024)",https://doi.org/10.1101/2024.12.20.629650,2024,no,,"accession 10.5281/zenodo.4909620 found in the original publication (sole accession in that paper), verified live"
maynard2021_visium,"Human dorsolateral prefrontal cortex (DLPFC) datasets (slices 151674, 151675, 151508)",10 x Genomics Visium,spatial transcriptomics,yes,human,dorsolateral prefrontal cortex,,,,10.5281/zenodo.4730634,https://zenodo.org/api/records/4730634/files/LieberInstitute/spatialLIBD-biorRxiv.zip/content,,"Maynard et al., Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex, Nat Neurosci. (2021)",https://doi.org/10.7490/f1000research.1118079.1,2021,no,,"also: Zenodo (DOI: 10.5281/zenodo.6925603), endpoint “jhpce#HumanPilot10x” on Globus data transfer platform at http://research.libd.org/globus/, http://research.libd.org/globus, http://research.libd.org/globus/jhpce_HumanPilot10x/index.html, http://research.libd.org/spatialLIBD, http://research.libd.org/spatialLIBD/, http://research.libd.org/spatialLIBD/index.html, http://spatial.libd.org/spatialLIBD, http://spatial.libd.org/spatialLIBD/, https://doi.org/doi:10.18129/B9.bioc.spatialLIBD, https://github.com/LieberInstitute/HumanPilot, https://github.com/LieberInstitute/spatialDLPFC, https://github.com/LieberInstitute/spatialLIBD, https://libd.shinyapps.io/spatialLIBD, https://research.libd.org/spatialLIBD/, https://www.10xgenomics.com/products/spatial-gene-expression, https://www.10xgenomics.com/resources/datasets, https://www.10xgenomics.com/resources/datasets/human-breast-cancer-block-a-section-1-1-standard-1-1-0, https://www.nature.com/articles/s41593-020-00787-0, https://zenodo.org/records/6925603#.YuM5WXZBwuU, research.libd.org/spatialLIBD, spatialLIBD ExperimentHub R Bioconductor packages"
wang2022_visium,human ovarian cancer dataset,10 x Genomics Visium,spatial transcriptomics,yes,human,ovarian cancer,,,,,,,"Wang et al., Sprod for de-noising spatially resolved transcriptomics data based on position and image information, Nat Methods (2022)",https://doi.org/10.1038/s41592-022-01560-w,2022,no,,
chen2022_stereo,Mouse organogenesis spatiotemporal transcriptomic atlas (MOSTA) dataset / Mouse embryo E9.5 dataset,Stereo-seq,spatial transcriptomics,yes,mouse,olfactory bulb,,,,CNGBdb (CNP0001543) / MOSTA,,,"Chen et al., Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays, Cell (2022)",https://doi.org/10.3410/f.742107472.793593483,2022,no,,"also: CNS0390078, https://db.cngb.org/search/project/CNP0001543, https://db.cngb.org/search/project/CNP0001543/, https://db.cngb.org/stomics, https://db.cngb.org/stomics/datasets/STDS0000058, https://db.cngb.org/stomics/mosta, https://db.cngb.org/stomics/mosta/, https://db.cngb.org/stomics/mosta/download/, https://github.com/BGIResearch/stereopy, https://github.com/JinmiaoChenLab/SEDR, https://github.com/JinmiaoChenLab/SEDR_analyses, https://github.com/JinmiaoChenLab/SEDR_analyses/, https://github.com/JinmiaoChenLab/SEDR_analyses/tree/master/data, https://github.com/JinmiaoChenlab/SEDR_analyses, https://github.com/STOmics/SAW/tree/main/Test_Data, https://github.com/acheng416/Benchmark-CTCM-ST, https://singlecell.broadinstitute.org/single_cell/study/SCP2482"
stickels2021_slideseq,Mouse hippocampus Slide-seq and Slide-seqV2 datasets,Slide-seqV2,spatial transcriptomics,yes,mouse,olfactory bulb,,,,Broad single-cell portal SCP815,,,"Stickels et al., Highly sensitive spatial transcriptomics at near-cellular resolution with Slide-seqV2, Nat Biotechnol. (2021)",https://doi.org/10.3410/f.739166617.793593828,2021,no,,"also: http://mousebrain.org/, https://github.com/satijalab/seurat-data, https://github.com/scverse/squidpy, https://portals.broadinstitute.org/single_cell/study/slide-seq-study, https://singlecell.broadinstitute.org, https://singlecell.broadinstitute.org/single_cell, https://singlecell.broadinstitute.org/single_cell/ (SCP948), https://singlecell.broadinstitute.org/single_cell/study/SCP815, https://singlecell.broadinstitute.org/single_cell/study/SCP815/, https://singlecell.broadinstitute.org/single_cell/study/SCP815/highly-sensitive-spatial-transcriptomics-at-near-cellular-resolution-with-slide-seqv2, https://singlecell.broadinstitute.org/single_cell/study/SCP815/highly-sensitive-spatial-transcriptomics-at-near-cellular-resolution-with-slide-seqv2#study-download, https://singlecell.broadinstitute.org/single_cell/study/SCP815/highly-sensitive-spatial-transcriptomics-at-near-cellular-resolution-with-slide-seqv2#study-summary, https://singlecell.broadinstitute.org/single_cell/study/SCP815/highly-sensitive-spatial-transcriptomics-at-near-cellularresolution-with-slide-seqv2, https://singlecell.broadinstitute.org/single_cell/study/SCP815/highly-sensitive-spatiatranscriptomics-at-near-cellular-resolution-with-slide-seqv2#study-summary, https://singlecell.broadinstitute.org/single_cell/study/SCP815/sensitive-spatial-genome-wide-expression-profiling-at-cellular-resolution#study-summary, https://singlecell.broadinstitute.org/single_cell/study/SCP815/sensitive-spatial-genome-wide-expression-profiling-at-cellular-resolutionstudy-summary, https://singlecell.broadinstitute.org/single_cell/study/SCP815/sensitive-spatial-genome-wideexpression-profiling-at-cellular-resolution#study-summary, https://singlecell.broadinstitute.org/single_cell/study/SCP948, https://singlecell.broadinstitute.org/single_cell/study/SCP948/robust-decomposition-of-cell-type-mixtures-in-spatial-transcriptomics, https://singlecell.broadinstitute.org/singlecell/study/SCP815, https://www.spatialomics.org/SpatialDB/, https://zenodo.org/record/8141084"
visium_dataset_f_visium,Visium dataset for human breast cancer,10 x Genomics Visium,spatial transcriptomics,yes,human,breast cancer,,,,,,,,,,yes,,original publication link unresolved (Crossref miss)
