dataset_name,platform,modality,species,tissue,disease,n_samples,data_access_link,origin,source_paper_title,source_paper_doi,source_paper_year,source_paper_id,found_via,data_downloadable
LIBD human dorsolateral prefrontal cortex dataset,10x Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,healthy,12,http://research.libd.org/spatialLIBD/,reused,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",10.1038/s41467-023-36796-3,2023,PMC9977836,literature_search,yes (http 200)
10x Genomics mouse brain dataset (anterior section),10x Visium,spatial transcriptomics,mouse,brain,healthy,1,https://www.10xgenomics.com/resources/datasets,reused,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",10.1038/s41467-023-36796-3,2023,PMC9977836,literature_search,yes (http 200)
Mouse olfactory bulb dataset,Stereo-seq,spatial transcriptomics,mouse,olfactory bulb,healthy,1,,reused,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",10.1038/s41467-023-36796-3,2023,PMC9977836,literature_search,no link
Mouse hippocampus dataset (Puck_200115_08),Slide-seqV2,spatial transcriptomics,mouse,hippocampus,healthy,1,https://portals.broadinstitute.org/single_cell/study/slide-seq-study,reused,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",10.1038/s41467-023-36796-3,2023,PMC9977836,literature_search,yes (http 200)
Mouse embryo datasets (E9.5 and E14.5),Stereo-seq,spatial transcriptomics,mouse,embryo,developmental (embryo),2,https://db.cngb.org/stomics/mosta/,reused,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",10.1038/s41467-023-36796-3,2023,PMC9977836,literature_search,yes (http 200)
Mouse breast cancer dataset (vertical and horizontal integration samples),10x Visium,spatial transcriptomics,mouse,mammary gland tumor,cancer,4,,generated,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",10.1038/s41467-023-36796-3,2023,PMC9977836,literature_search,no link
Simulated spatial benchmarking datasets (seqFISH+ and STARmap),seqFISH+ and STARmap,spatial transcriptomics,mouse,cortex / visual cortex,healthy,2,https://github.com/QuKunLab/SpatialBenchmarking/tree/main/FigureData/Figure4,reused,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",10.1038/s41467-023-36796-3,2023,PMC9977836,literature_search,yes (http 200)
Human lymph node tissue data,10x Visium,spatial transcriptomics,human,lymph node,healthy,1,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Human_Lymph_Node,reused,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",10.1038/s41467-023-36796-3,2023,PMC9977836,literature_search,unverified (site blocks automated checks: http 403)
Human breast cancer dataset,10x Visium,spatial transcriptomics,human,breast cancer,cancer,1,https://www.10xgenomics.com/resources/datasets/human-breast-cancer-block-a-section-1-1-standard-1-1-0,reused,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",10.1038/s41467-023-36796-3,2023,PMC9977836,literature_search,yes (http 200)
Mouse embryonic brain dataset,MISAR-seq,,mouse,embryonic brain,,,,reused,A graph neural network-based spatial multi-omics data integration method for deciphering spatial domains,10.1371/journal.pcbi.1013546,2025,PMC12503342,literature_search,no link
Juvenile mouse brain dataset,spatial ATAC-RNA-seq,,mouse,brain,,,,reused,A graph neural network-based spatial multi-omics data integration method for deciphering spatial domains,10.1371/journal.pcbi.1013546,2025,PMC12503342,literature_search,no link
Mouse thymus dataset,Stereo-CITE-seq,,mouse,thymus,,,,reused,A graph neural network-based spatial multi-omics data integration method for deciphering spatial domains,10.1371/journal.pcbi.1013546,2025,PMC12503342,literature_search,no link
Human lymph node dataset,10x Genomics Visium RNA and protein co-profiling,spatial transcriptomics,human,lymph node,,,,reused,A graph neural network-based spatial multi-omics data integration method for deciphering spatial domains,10.1371/journal.pcbi.1013546,2025,PMC12503342,literature_search,no link
Human spleen spatial transcriptomics,Visium,spatial transcriptomics,human,spleen,healthy,1,,generated,Single-cell spatial explorer: easy exploration of spatial and multimodal transcriptomics,10.1186/s12859-023-05150-1,2023,PMC9881287,literature_search,no link
Human cerebellum dataset,10x,,human,cerebellum,healthy,,https://www.10xgenomics.com,reused,Single-cell spatial explorer: easy exploration of spatial and multimodal transcriptomics,10.1186/s12859-023-05150-1,2023,PMC9881287,literature_search,"no (link is a site root, not a dataset)"
Human spinal cord dataset,10x,,human,spinal cord,healthy,,https://www.10xgenomics.com,reused,Single-cell spatial explorer: easy exploration of spatial and multimodal transcriptomics,10.1186/s12859-023-05150-1,2023,PMC9881287,literature_search,"no (link is a site root, not a dataset)"
Murine brain dataset,10x,,murine,brain,healthy,,https://www.10xgenomics.com,reused,Single-cell spatial explorer: easy exploration of spatial and multimodal transcriptomics,10.1186/s12859-023-05150-1,2023,PMC9881287,literature_search,"no (link is a site root, not a dataset)"
Murine kidney dataset,10x,,murine,kidney,healthy,,https://www.10xgenomics.com,reused,Single-cell spatial explorer: easy exploration of spatial and multimodal transcriptomics,10.1186/s12859-023-05150-1,2023,PMC9881287,literature_search,"no (link is a site root, not a dataset)"
Murine sample ME11 H3K27me3 50um,Spatial-cut&tag,,murine,,,1,GSM5028434,reused,Single-cell spatial explorer: easy exploration of spatial and multimodal transcriptomics,10.1186/s12859-023-05150-1,2023,PMC9881287,literature_search,yes (GEO record GSM5028434)
Human tonsil sample,Spatial-cut&tag,,human,tonsil,,1,GSM528388,reused,Single-cell spatial explorer: easy exploration of spatial and multimodal transcriptomics,10.1186/s12859-023-05150-1,2023,PMC9881287,literature_search,yes (GEO record GSM528388)
Human prostate cancer dataset,Visium,spatial transcriptomics,human,prostate,cancer,,https://www.10xgenomics.com,reused,Single-cell spatial explorer: easy exploration of spatial and multimodal transcriptomics,10.1186/s12859-023-05150-1,2023,PMC9881287,literature_search,"no (link is a site root, not a dataset)"
Human lung tissue dataset,CoxMx,,human,lung,,,https://nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/,reused,Single-cell spatial explorer: easy exploration of spatial and multimodal transcriptomics,10.1186/s12859-023-05150-1,2023,PMC9881287,literature_search,yes (http 200)
Human Dorsolateral Prefrontal Cortex (DLPFC) dataset,10x Visium,spatial transcriptomics,Human,Dorsolateral prefrontal cortex,Neurotypical / healthy,12,https://libd.shinyapps.io/spatialLIBD,reused,MMSpa is a deep learning-based tool that enhances the identification of spatial domains in spatial transcriptomics studies,10.1371/journal.pbio.3003580,2026,PMC12768284,literature_search,yes (http 200)
Mouse Brain Datasets (Sagittal posterior and coronal),10x Visium,spatial transcriptomics,Mouse,Brain,Healthy (Sagittal posterior and coronal parts),2,https://doi.org/10.5281/zenodo.17451775,reused,MMSpa is a deep learning-based tool that enhances the identification of spatial domains in spatial transcriptomics studies,10.1371/journal.pbio.3003580,2026,PMC12768284,literature_search,"yes (zenodo record, 2 files)"
Human Breast Cancer Dataset,10x Visium,spatial transcriptomics,Human,Breast,Human Breast Cancer,1,,reused,MMSpa is a deep learning-based tool that enhances the identification of spatial domains in spatial transcriptomics studies,10.1371/journal.pbio.3003580,2026,PMC12768284,literature_search,no link
Human Pancreatic Ductal Adenocarcinoma (PDAC) Dataset,10x Visium,spatial transcriptomics,Human,Pancreas,Pancreatic ductal adenocarcinoma (PDAC),1,,reused,MMSpa is a deep learning-based tool that enhances the identification of spatial domains in spatial transcriptomics studies,10.1371/journal.pbio.3003580,2026,PMC12768284,literature_search,no link
E9.5 Mouse Embryo Stereo-seq Datasets (#E9.5_E1_S1 and #E9.5_E2_S3),Stereo-seq,spatial transcriptomics,Mouse,Embryo,Healthy (E9.5 mouse embryo),2,,reused,MMSpa is a deep learning-based tool that enhances the identification of spatial domains in spatial transcriptomics studies,10.1371/journal.pbio.3003580,2026,PMC12768284,literature_search,no link
Mouse Visual Cortex STARmap Dataset,STARmap,spatial transcriptomics,Mouse,Visual cortex,Healthy (Mouse visual cortex),1,https://doi.org/10.5281/zenodo.17451775,reused,MMSpa is a deep learning-based tool that enhances the identification of spatial domains in spatial transcriptomics studies,10.1371/journal.pbio.3003580,2026,PMC12768284,literature_search,"yes (zenodo record, 2 files)"
Mouse Somatosensory Cortex osmFISH Dataset,osmFISH,spatial transcriptomics,Mouse,Somatosensory cortex,Healthy (Mouse somatosensory cortex),1,https://doi.org/10.5281/zenodo.17451775,reused,MMSpa is a deep learning-based tool that enhances the identification of spatial domains in spatial transcriptomics studies,10.1371/journal.pbio.3003580,2026,PMC12768284,literature_search,"yes (zenodo record, 2 files)"
Mouse Hypothalamus MERFISH Dataset,MERFISH,spatial transcriptomics,Mouse,Hypothalamus,Healthy (Mouse hypothalamus),1,,reused,MMSpa is a deep learning-based tool that enhances the identification of spatial domains in spatial transcriptomics studies,10.1371/journal.pbio.3003580,2026,PMC12768284,literature_search,no link
Anterior Mouse Brain ST Dataset,10x Visium,spatial transcriptomics,Mouse,Anterior brain,Healthy (Mouse anterior brain),1,https://doi.org/10.5281/zenodo.17451775,reused,MMSpa is a deep learning-based tool that enhances the identification of spatial domains in spatial transcriptomics studies,10.1371/journal.pbio.3003580,2026,PMC12768284,literature_search,"yes (zenodo record, 2 files)"
HER2-positive breast tumors,spatial coordinates (her2st),spatial transcriptomics,human,breast,HER2-positive breast cancer,8,https://github.com/almaan/her2st,reused,TransST: transfer learning embedded spatial factor modeling of spatial transcriptomics data,10.1186/s12859-025-06099-z,2025,PMC12593783,literature_search,yes (http 200)
Human dorsolateral prefrontal cortex (DLPFC) dataset,10x Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,neurotypical,12,https://github.com/LieberInstitute/spatialLIBD,reused,TransST: transfer learning embedded spatial factor modeling of spatial transcriptomics data,10.1186/s12859-025-06099-z,2025,PMC12593783,literature_search,yes (http 200)
High-resolution mouse embryos dataset,seqFISH,spatial transcriptomics,mouse,embryo,healthy,3,https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/,reused,TransST: transfer learning embedded spatial factor modeling of spatial transcriptomics data,10.1186/s12859-025-06099-z,2025,PMC12593783,literature_search,yes (http 200)
Squamous cell carcinoma dataset (ST-SCC),spatial transcriptomics,,human,skin,cutaneous squamous cell carcinoma (cSCC),1,https://github.com/drieslab/spatial-datasets/tree/master/data/2020_ST_SCC,reused,TransST: transfer learning embedded spatial factor modeling of spatial transcriptomics data,10.1186/s12859-025-06099-z,2025,PMC12593783,literature_search,yes (http 200)
Whole Mouse Brain (MERFISH),MERFISH,spatial transcriptomics,mouse,brain,healthy,129,,reused,T issue N arrator : Generative Modeling of Spatial Transcriptomics with Large Language Models,10.1101/2025.11.24.690325,2025,PMC12697357,literature_search,no link
Human melanoma (Perturb-FISH),Perturb-FISH,,human,melanoma,,,,reused,T issue N arrator : Generative Modeling of Spatial Transcriptomics with Large Language Models,10.1101/2025.11.24.690325,2025,PMC12697357,literature_search,no link
Human ovarian cancer (CosMx SMI),CosMx SMI,spatial transcriptomics,human,adnexa and omentum,high-grade serous tubo-ovarian cancer,48,,reused,T issue N arrator : Generative Modeling of Spatial Transcriptomics with Large Language Models,10.1101/2025.11.24.690325,2025,PMC12697357,literature_search,no link
Murine hepatocyte single-cell spatial proteomics dataset,scDVP (single-cell Deep Visual Proteomics / multiplexed mass spectrometry combined with laser microdissection and high-content imaging),spatial transcriptomics,mouse,liver,healthy,,,generated,Spatial single-cell mass spectrometry defines zonation of the hepatocyte proteome,10.1038/s41592-023-02007-6,2023,PMC10555842,literature_search,no link
10x Visium Human DLPFC Dataset,10x Visium,spatial transcriptomics,Homo sapiens,Dorsolateral prefrontal cortex,,12,,reused,SpaNorm: spatially-aware normalization for spatial transcriptomics data,10.1186/s13059-025-03565-y,2025,PMC12039303,literature_search,no link
10x Xenium Mouse Brain Dataset,10x Xenium,spatial transcriptomics,Mus musculus,Brain,,3,https://www.10xgenomics.com/resources/datasets/fresh-frozen-mouse-brain-replicates-1-standard,reused,SpaNorm: spatially-aware normalization for spatial transcriptomics data,10.1186/s13059-025-03565-y,2025,PMC12039303,literature_search,yes (http 200)
NanoString CosMx NSCLC FFPE Dataset,NanoString CosMx,spatial transcriptomics,Homo sapiens,Non-small-cell lung cancer,Non-small-cell lung cancer,7,https://staging.nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/nsclc-ffpe-dataset/,reused,SpaNorm: spatially-aware normalization for spatial transcriptomics data,10.1186/s13059-025-03565-y,2025,PMC12039303,literature_search,yes (http 200)
BGI STOmics Mouse Brain Dataset,BGI STOmics,,Mus musculus,Brain,,1,https://db.cngb.org/search/project/CNP0001543/,reused,SpaNorm: spatially-aware normalization for spatial transcriptomics data,10.1186/s13059-025-03565-y,2025,PMC12039303,literature_search,unverified (unreachable during check: http 502)
10x Xenium Human Breast Cancer Dataset,10x Xenium,spatial transcriptomics,Homo sapiens,Breast Cancer,Breast cancer,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243280,reused,SpaNorm: spatially-aware normalization for spatial transcriptomics data,10.1186/s13059-025-03565-y,2025,PMC12039303,literature_search,yes (http 200)
Mouse Olfactory Bulb Data (Replicate 12),Spatial Transcriptomics,,Mouse,Olfactory Bulb,healthy,,http://www.spatialtranscriptomicsresearch.org,reused,Spatially Informed Cell Type Deconvolution for Spatial Transcriptomics,10.1038/s41587-022-01273-7,2022,PMC9464662,literature_search,"no (link is a site root, not a dataset)"
Human Pancreatic Ductal Adenocarcinoma (PDAC) Data (PDAC-A),Spatial Transcriptomics,,Human,Pancreas,pancreatic ductal adenocarcinoma (PDAC),,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111672,reused,Spatially Informed Cell Type Deconvolution for Spatial Transcriptomics,10.1038/s41587-022-01273-7,2022,PMC9464662,literature_search,yes (http 200)
Mouse Hippocampus Slide-seqV2 Dataset,Slide-seqV2,spatial transcriptomics,Mouse,Brain / Hippocampus,healthy,,https://singlecell.broadinstitute.org/single_cell/study/SCP948/robust-decomposition-of-cell-type-mixtures-in-spatial-transcriptomics,reused,Spatially Informed Cell Type Deconvolution for Spatial Transcriptomics,10.1038/s41587-022-01273-7,2022,PMC9464662,literature_search,yes (http 200)
Mouse Brain (Coronal Section) 10x Visium Data,10x Visium,spatial transcriptomics,Mouse,Brain,healthy,,https://www.10xgenomics.com/resources/datasets/,reused,Spatially Informed Cell Type Deconvolution for Spatial Transcriptomics,10.1038/s41587-022-01273-7,2022,PMC9464662,literature_search,yes (http 200)
Mouse Brain Cortex seqFISH+ Dataset,seqFISH+,spatial transcriptomics,Mouse,Brain / Cortex,healthy,,,reused,Spatially Informed Cell Type Deconvolution for Spatial Transcriptomics,10.1038/s41587-022-01273-7,2022,PMC9464662,literature_search,no link
Human dorsolateral prefrontal cortex 10x Visium dataset,10x Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,healthy,12,https://research.libd.org/spatialLIBD,reused,Deciphering spatial domains from spatially resolved transcriptomics with Siamese graph autoencoder,10.1093/gigascience/giae003,2024,PMC10939418,literature_search,yes (http 200)
Mouse gastrulation seqFISH dataset,seqFISH,spatial transcriptomics,mouse,embryo / gastrulation,healthy,,https://crukci.shinyapps.io/SpatialMouseAtlas/,reused,Deciphering spatial domains from spatially resolved transcriptomics with Siamese graph autoencoder,10.1093/gigascience/giae003,2024,PMC10939418,literature_search,yes (http 200)
Mouse cortex MERFISH dataset,MERFISH,spatial transcriptomics,mouse,primary motor cortex,healthy,,https://doi.brainimagelibrary.org/,reused,Deciphering spatial domains from spatially resolved transcriptomics with Siamese graph autoencoder,10.1093/gigascience/giae003,2024,PMC10939418,literature_search,"no (link is a site root, not a dataset)"
Mouse olfactory bulb SLIDE-seq v2 dataset,SLIDE-seq v2,spatial transcriptomics,mouse,olfactory bulb,healthy,,https://singlecell.broadinstitute.org/single_cell/study/SCP815/highly-sensitive-spatial-transcriptomics-at-near-cellular-resolution-with-slide-seqv2#study-summary,reused,Deciphering spatial domains from spatially resolved transcriptomics with Siamese graph autoencoder,10.1093/gigascience/giae003,2024,PMC10939418,literature_search,yes (http 200)
Liver cancer Stereo-seq dataset,Stereo-seq,spatial transcriptomics,human,liver,liver cancer,,https://db.cngb.org/stomics/,reused,Deciphering spatial domains from spatially resolved transcriptomics with Siamese graph autoencoder,10.1093/gigascience/giae003,2024,PMC10939418,literature_search,yes (http 200)
Adult mouse brain Stereo-seq dataset,Stereo-seq,spatial transcriptomics,mouse,brain,healthy,,https://zenodo.org/record/7340795,reused,Deciphering spatial domains from spatially resolved transcriptomics with Siamese graph autoencoder,10.1093/gigascience/giae003,2024,PMC10939418,literature_search,"yes (zenodo record, 6 files)"
3D Drosophila Stereo-seq dataset,Stereo-seq,spatial transcriptomics,Drosophila,embryo and larva,healthy,,https://db.cngb.org/stomics/flysta3d/spatial,reused,Deciphering spatial domains from spatially resolved transcriptomics with Siamese graph autoencoder,10.1093/gigascience/giae003,2024,PMC10939418,literature_search,yes (http 200)
Expanded TissueNet,"Multiple (IMC, CODEX, MIBI, IBEX, MICS, Cell DIVE, CycIF, InSituPlex, Vectra)",spatial proteomics,Human,Multiple tissues (17 common tissue types),,,,generated,Generalized cell phenotyping for spatial proteomics with language-informed vision models,10.1101/2024.11.02.621624,2025,PMC11601246,literature_search,no link
E11 mouse embryo sagittal section 1 and 2,spatial-DMT,,mouse,embryo (head and upper body),healthy,2,https://github.com/zhou-lab/Spatial-DMT-2024,generated,Spatial joint profiling of DNA methylome and transcriptome in tissues,10.1038/s41586-025-09478-x,2025,PMC12571926,literature_search,yes (http 200)
E11 mouse embryo facial and forebrain region,spatial-DMT (10 um pixel size),,mouse,embryo (facial and forebrain),healthy,1,https://github.com/zhou-lab/Spatial-DMT-2024,generated,Spatial joint profiling of DNA methylome and transcriptome in tissues,10.1038/s41586-025-09478-x,2025,PMC12571926,literature_search,yes (http 200)
E13 mouse embryo sagittal section,spatial-DMT,,mouse,embryo,healthy,1,https://github.com/zhou-lab/Spatial-DMT-2024,generated,Spatial joint profiling of DNA methylome and transcriptome in tissues,10.1038/s41586-025-09478-x,2025,PMC12571926,literature_search,yes (http 200)
P21 mouse brain coronal section,spatial-DMT,,mouse,brain (cortical and hippocampal regions),healthy,1,https://github.com/zhou-lab/Spatial-DMT-2024,generated,Spatial joint profiling of DNA methylome and transcriptome in tissues,10.1038/s41586-025-09478-x,2025,PMC12571926,literature_search,yes (http 200)
SpatialHuman30M,"Visium, Visium HD, MERFISH, Xenium",spatial transcriptomics,human,"over 20 organs and tissues (including lung, breast, colon, kidney, uterus, tonsil, prostate, liver, brain, ovary, pancreas, skin)","healthy, cancer, and other diseased conditions",821,,reused,scGPT-spatial: Continual Pretraining of Single-Cell Foundation Model for Spatial Transcriptomics,10.1101/2025.02.05.636714,2025,bio_4ca5ef247319,literature_search,no link
Multi-modal Developing Fetal Lung dataset,Visium and Xenium,spatial transcriptomics,human,fetal lung (GW15 human fetal lung tissues),not stated,,,reused,scGPT-spatial: Continual Pretraining of Single-Cell Foundation Model for Spatial Transcriptomics,10.1101/2025.02.05.636714,2025,bio_4ca5ef247319,literature_search,no link
MERFISH Developing Human Thalamus dataset,MERFISH,spatial transcriptomics,human,fetal thalamus (first- and second-trimester thalamus specimens),not stated,5,,reused,scGPT-spatial: Continual Pretraining of Single-Cell Foundation Model for Spatial Transcriptomics,10.1101/2025.02.05.636714,2025,bio_4ca5ef247319,literature_search,no link
Visium Human Cortex dataset,10X Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,not stated,12,,reused,scGPT-spatial: Continual Pretraining of Single-Cell Foundation Model for Spatial Transcriptomics,10.1101/2025.02.05.636714,2025,bio_4ca5ef247319,literature_search,no link
Visium Human Breast dataset,10X Visium,spatial transcriptomics,human,human breast tissue,not stated,10,,reused,scGPT-spatial: Continual Pretraining of Single-Cell Foundation Model for Spatial Transcriptomics,10.1101/2025.02.05.636714,2025,bio_4ca5ef247319,literature_search,no link
Perturb-map mouse lung adenocarcinoma dataset,10x Visium,spatial transcriptomics,mouse,lung,lung adenocarcinoma,4,GSE193460,reused,CONCERT predicts niche-aware perturbation responses in spatial transcriptomics,10.1101/2025.11.08.686890,2025,PMC12642540,literature_search,yes (GEO record GSE193460)
Mouse gut DSS inflammation dataset,Spatial transcriptomics (ST),spatial transcriptomics,mouse,colon,DSS-induced colon inflammation,4,SCP2771,reused,CONCERT predicts niche-aware perturbation responses in spatial transcriptomics,10.1101/2025.11.08.686890,2025,PMC12642540,literature_search,yes (http 200)
Mouse brain stroke dataset,Spatial transcriptomics,,mouse,brain,ischemic stroke (photothrombosis) and sham control,8,https://figshare.com/articles/dataset/Mouse_brain_stroke_dataset/29882900,reused,CONCERT predicts niche-aware perturbation responses in spatial transcriptomics,10.1101/2025.11.08.686890,2025,PMC12642540,literature_search,unverified (server answered http 202)
Mouse brain STARmap data,STARmap,spatial transcriptomics,mouse,brain (prelimbic area),,3,,reused,Spatial mutual nearest neighbors for spatial transcriptomics data,10.1093/bioinformatics/btaf403,2025,PMC12317746,literature_search,no link
Visium human dorsolateral prefrontal cortex data,10x Genomics Visium Spatial Gene Expression,spatial transcriptomics,human,dorsolateral prefrontal cortex (DLPFC),,12,,reused,Spatial mutual nearest neighbors for spatial transcriptomics data,10.1093/bioinformatics/btaf403,2025,PMC12317746,literature_search,no link
MERFISH mouse frontal cortex and striatum data,MERFISH,spatial transcriptomics,mouse,frontal cortex and striatum,,31,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,reused,Spatial mutual nearest neighbors for spatial transcriptomics data,10.1093/bioinformatics/btaf403,2025,PMC12317746,literature_search,yes (http 200)
