reason,dataset_id,dataset_name,platform,species,tissue,data_access_link,original_publication,original_publication_link
access link blocked to automated checks (needs a browser),hallal2024_visium,Human Glioblastoma,10x Visium,human,glioblastoma,https://support.10xgenomics.com/spatial-gene-expression/datasets,"Hallal et al., Glioblastoma biomarkers in urinary extracellular vesicles reveal the potential for a ‘liquid gold’ biopsy, Br J Cancer (2024)",https://doi.org/10.1038/s41416-023-02548-9
access link blocked to automated checks (needs a browser),human_breast_can_visium,Human breast cancer dataset (IDC),10x Visium,Human,Breast cancer (invasive ductal carcinoma),https://support.10xgenomics.com/spatial-gene-expression/datasets,,
access link blocked to automated checks (needs a browser),human_breast_can2025_visium,"Human breast cancer dataset (invasive ductal carcinoma, IDC)",10X Visium,Human,breast cancer,https://support.10xgenomics.com/spatial-gene-expression/datasets,"Denoising spatially resolved transcriptomics with consistency of heterogeneous spatial coordinates, transcription, and morphology",https://doi.org/10.1093/bib/bbaf528
access link blocked to automated checks (needs a browser),wu2023_stereo,LC5-M human liver cancer Stereo-seq dataset,Stereo-seq,human,liver cancer,https://db.cngb.org/search/project/CNP0002199/,"Wu et al., An invasive zone in human liver cancer identified by Stereo-seq promotes hepatocyte–tumor cell crosstalk, local immunosuppression and tumor progression, Cell Res (2023)",https://doi.org/10.1038/s41422-023-00831-1
access link blocked to automated checks (needs a browser),klughammer2024_codex,Metastatic Breast Cancer Dataset,CODEX,human,liver and breast tissue,https://singlecell.broadinstitute.org/single_cell/study/SCP2702/htapp–mbc,"Klughammer et al., A multi-modal single-cell and spatial expression map of metastatic breast cancer biopsies across clinicopathological features, Nature Medicine (2024)",
access link blocked to automated checks (needs a browser),mouse_brain_coro_visium,Mouse brain coronal data,10x Visium,mouse,brain,https://support.10xgenomics.com/spatial-gene-expression/datasets,,
access link blocked to automated checks (needs a browser),mouse_brain_coro2025_visium,Mouse brain coronal data,10x Visium,mouse,brain,https://support.10xgenomics.com/spatial-gene-expression/datasets,STCC enhances spatial domain detection through consensus clustering of spatial transcriptomics data,https://doi.org/10.1101/gr.280031.124
access link blocked to automated checks (needs a browser),mouse_brain_spat2022_visium,Mouse brain spatial transcriptomics Visium data,Visium,mouse,brain,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Adult_Mouse_Brain_Coronal_Section_2,Cell type identification in spatial transcriptomics data can be improved by leveraging cell-type-informative paired tissue images using a Bayesian probabilistic model,https://doi.org/10.1093/nar/gkac320
access link blocked to automated checks (needs a browser),mouse_brain_tiss_visium,Mouse brain tissue sections dataset,10× Visium,human,breast cancer,https://support.10xgenomics.com/spatial-gene-expression/datasets,,
access link blocked to automated checks (needs a browser),buache2011_visium,Mouse breast cancer dataset sections 1 and 2 (batch integration),10x Genomics Visium,human,breast cancer tissue,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Breast_Cancer_Block_A_Section_1,"Buache et al., Deficiency in trefoil factor 1 (TFF1) increases tumorigenicity of human breast cancer cells and mammary tumor development in TFF1-knockout mice, Oncogene (2011)",https://doi.org/10.1038/onc.2011.41
access link blocked to automated checks (needs a browser),mouse_posterior_2025_visium,Mouse posterior brain section,10x Visium,Mouse,Coronal Mouse brain section,https://support.10xgenomics.com/spatial-gene-expression/datasets,STMGraph: spatial-context-aware of transcriptomes via a dual-remasked dynamic graph attention model,https://doi.org/10.1093/bib/bbae685
access link blocked to automated checks (needs a browser),liu2022_visium,Orchid flower-buds slide_1,10x Visium,Orchid flower,Orchid flower,https://academic.oup.com/nar/article/50/17/9724/6696353#supplementary-data,"Liu et al., A spatiotemporal atlas of organogenesis in the development of orchid flowers, Nucleic Acids Res (2022)",https://doi.org/10.1093/nar/gkac773
access link blocked to automated checks (needs a browser),visium_breast_ca2021_visium,Visium breast cancer spatial gene-expression data (Block A Section 1),10x Genomics Visium spatial RNA-sequencing,Human,Breast cancer,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Breast_Cancer_Block_A_Section_1,Assessing heterogeneity in spatial data using the HTA index with applications to spatial transcriptomics and imaging,https://doi.org/10.1093/bioinformatics/btab569
access link blocked to automated checks (needs a browser),visium_mouse_bra_visium,Visium mouse brain dataset,Visium,mouse,brain,https://support.10xgenomics.com/spatial-gene-expression/datasets,,
access link blocked to automated checks (needs a browser),zhao2021_visium,breast cancer sample with invasive ductal carcinoma (IDC),10x Visium,Human,Breast cancer,https://support.10xgenomics.com/spatial-gene-expression/datasets,"Zhao et al., Spatial transcriptomics at subspot resolution with BayesSpace, Nat Biotechnol (2021)",https://doi.org/10.1038/s41587-021-00935-2
access link blocked to automated checks (needs a browser),steinhart2021_st,high-grade serous carcinoma (HGSOC) dataset,Vectra-Polaris multi-spectral immunohistochemistry (IHC),,ovary,http://juliawrobel.com/MI_tutorial/MI_Data.html,"Steinhart et al., The spatial context of tumor-infiltrating immune cells associates with improved ovarian cancer survival, Molecular Cancer Research (2021)",https://doi.org/10.1158/1541-7786.c.6545670.v1
access link blocked to automated checks (needs a browser),mouse_bone_marro_visium,mouse bone marrow tissue dataset,10X Visium,mouse,brain,https://support.10xgenomics.com/spatial-gene-expression/datasets,,
access link blocked to automated checks (needs a browser),johnson2021_st,non-small cell lung cancer dataset,multiplexed immunohistochemistry,human,non-small cell lung cancer,http://juliawrobel.com/MI_tutorial/MI_Data.html,"Johnson et al., Cancer cell-specific major histocompatibility complex ii expression as a determinant of the immune infiltrate organization and function in the nsclc tumor microenvironment, Journal of Thoracic Oncology (2021)",https://doi.org/10.1016/j.jtho.2021.05.004
access link blocked to automated checks (needs a browser),lohoff2021_seqfish,seqFISH mouse embryo dataset (embryo1),seqFISH,mouse,embryo / spinal cord,https://marionilab.cruk.cam.ac.uk/SpatialMouseAtlas/,"Lohoff et al., Integration of spatial and single-cell transcriptomic data elucidates mouse organogenesis, Nat Biotechnol (2021)",https://doi.org/10.1038/s41587-021-01006-2
access link failed: zenodo record has no files,xenium_gvhd2024_xenium,Xenium-GVHD,Xenium,human,salivary gland / tissue microarray,https://zenodo.org/records/11397609,Spatial Deconvolution of Cell Types and Cell States at Scale Utilizing TACIT,https://doi.org/10.21203/rs.3.rs-4536158/v1
download URL dead (probe failed),fu2024_xenium,DCIS xenium image,Xenium,,breast cancer,https://doi.org/10.5281/zenodo.16809537,"Fu et al., Bidcell: Biologically-informed self-supervised learning for segmentation of subcellular spatial transcriptomics data, Nat. Commun. (2024)",https://doi.org/10.1038/s41467-023-44560-w
download URL dead (probe failed),qiu2022_stereo,Stereo-seq mouse adult coronal hemibrain dataset,Stereo-seq,mouse,brain,https://www.dropbox.com/s/c5tu4drxda01m0u/mousebrain_bin60.h5ad?dl=0,"Qiu et al., Spateo: multidimensional spatiotemporal modeling of single-cell spatial transcriptomics (2022)",
"free-text description, not a resolvable link",rat_kidney_st_se2022_visium,Rat kidney ST-seq and scRNA-seq dataset,Visium (10x Genomics) and Chromium Single Cell,rat,kidney,DRA012650,Spatial and single-cell transcriptome analysis reveals changes in gene expression in response to drug perturbation in rat kidney,https://doi.org/10.1093/dnares/dsac007
landing page or accession only - no direct file URL resolved,10x_chromium_scr2024_10x_chromium,10X Chromium scRNA-seq dataset,10X Chromium,mouse,cortex,PRJNA952594,Integrating single-cell and spatially resolved transcriptomic strategies to survey the astrocyte response to stroke in male mice,https://doi.org/10.1038/s41467-024-45821-y
landing page or accession only - no direct file URL resolved,10x_cytassist_sp_st,10X CytAssist Spatial Gene Expression mouse brain coronal section 1 FFPE,10X CytAssist Spatial Gene Expression (V2 Chemistry),mouse,brain,https://www.10xgenomics.com/resources/datasets/mouse-brain-coronal-section-1-ffpe-2-standard,,
landing page or accession only - no direct file URL resolved,yao2021_10x_genomics,10X Genomics and SMART-seq2 (Mouse Brain),10X Genomics / SMART-seq2,Mouse,Brain / Cortex and Hippocampus,https://portal.brain-map.org/atlases-and-data/rnaseq/mouse-whole-cortex-and-hippocampus-10x,"Yao et al., A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation, Cell (2021)",https://doi.org/10.1101/2020.03.30.015214
landing page or accession only - no direct file URL resolved,wu2022_visium,10X Visium colorectal cancer data,10X Visium,human,colorectal cancer,http://www.cancerdiversity.asia/scCRLM,"Wu et al., Spatiotemporal immune landscape of colorectal cancer liver metastasis at single-cell level, Cancer Discov. (2022)",https://doi.org/10.1158/2159-8290.22540411.v1
landing page or accession only - no direct file URL resolved,10x_visium_human_visium,10X Visium human breast cancer FFPE,10X Visium,mouse,brain,https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-ffpe-1-standard-1-3-0,,
landing page or accession only - no direct file URL resolved,xu2022_visium,10x Genomics Visium breast cancer sample,Visium,human,breast cancer (invasive ductal carcinoma),https://www.10xgenomics.com/products/spatial-gene-expression,"Xu et al., DeepST: identifying spatial domains in spatial transcriptomics by deep learning, Nucleic Acids Res (2022)",https://doi.org/10.1093/nar/gkac901
landing page or accession only - no direct file URL resolved,garciaalonso2021_visium_3,10x Genomics Visium full thickness uterus datasets,10x Genomics Visium,human,endometrium/uterus,E-MTAB-9260,"Garcia-Alonso et al., Mapping the temporal and spatial dynamics of the human endometrium in vivo and in vitro, Nat. Genet. (2021)",
landing page or accession only - no direct file URL resolved,garciaalonso2021_visium_2,10x Genomics Visium human endometrium dataset,10x Genomics Visium,human,endometrium,E-MTAB-9260,"Garcia-Alonso et al., Mapping the temporal and spatial dynamics of the human endometrium in vivo and in vitro, Nat Genet (2021)",
landing page or accession only - no direct file URL resolved,garciaalonso2021_visium_4,10x Genomics Visium spatial transcriptomics (full thickness uterus samples),Visium,human,endometrium,E-MTAB-9260,"Garcia-Alonso et al., Mapping the temporal and spatial dynamics of the human endometrium in vivo and in vitro, Nat. Genet. (2021)",
landing page or accession only - no direct file URL resolved,10x_genomics_fre_visium,10x Genomics fresh frozen breast tissue dataset,10x Visium,human,breast tissue (ductal carcinoma in situ and invasive carcinoma),https://www.10xgenomics.com/resources/datasets/human-breast-cancer-ductal-carcinoma-in-situ-invasive-carcinoma-ffpe-1-standard-1-3-0,,
landing page or accession only - no direct file URL resolved,10x_visium_ffpe_2025_visium,10x Visium FFPE prostate adenocarcinoma dataset,10x Visium,mouse,olfactory bulb,GSM4656181,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbaf174
landing page or accession only - no direct file URL resolved,oliveira2025_visiumhd,10x Visium HD Human Colorectal Cancer (HCRC),VisiumHD,,colorectal cancer,www.10xgenomics.com/datasets/visium-hd-human-crc,"Oliveira et al., High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer, Nat. Genet. (2025)",https://doi.org/10.1038/s41588-025-02193-3
landing page or accession only - no direct file URL resolved,wu2021_visium_2,10x Visium breast cancer ST data / 10x Visium human breast cancer / human breast cancer dataset,Visium (10X Genomics),human,breast cancer,Broad Institute and Zenodo,"Wu et al., A single-cell and spatially resolved atlas of human breast cancers, Nat Genet (2021)",
landing page or accession only - no direct file URL resolved,fu2021_visium,10x Visium human breast cancer,10x Genomics Visium,human,breast cancer,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.0.0/V1_Breast_Cancer_Block_A_Section_1,"Fu et al., Unsupervised spatially embedded deep representation of spatial transcriptomics (2021)",https://doi.org/10.1101/2021.06.15.448542
landing page or accession only - no direct file URL resolved,zhang2024_visium,10x Visium human fetal limb dataset,10x Visium,Human,Embryonic hindlimb,https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab,"Zhang et al., A human embryonic limb cell atlas resolved in space and time, Nature (2024)",https://doi.org/10.6019/s-biad2364
landing page or accession only - no direct file URL resolved,lebrigand2023_visium,10x Visium olfactory bulb dataset,10x Visium,,olfactory bulb,https://www.10xgenomics.com/resources/datasets,"Lebrigand et al., The spatial landscape of gene expression isoforms in tissue sections, Nucleic Acids Res. (2023)",https://doi.org/10.1093/nar/gkad169
landing page or accession only - no direct file URL resolved,guilliams2022_visium,10x Visium with highly multiplexed protein data and CITE-seq data of mouse liver,10X Visium,mouse,liver,Scott Lab & Guilliams Lab Liver Cell Atlas Mouse-StSt,"Guilliams et al., Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches, Cell (2022)",https://doi.org/10.1016/j.cell.2021.12.018
landing page or accession only - no direct file URL resolved,janesick2023_xenium,10x Xenium breast cancer dataset (IDC and ILC) / Human BRCA Xenium dataset,10x Xenium,Human,breast cancer,GSM7780153,"Janesick et al., High resolution mapping of the tumor microenvironment using integrated single-cell, spatial and in situ analysis, Nat Commun (2023)",https://doi.org/10.1038/s41467-023-43458-x
landing page or accession only - no direct file URL resolved,yao2023_xenium,10x Xenium mouse cortex dataset,10x Xenium,mouse,brain / cortex,https://www.10xgenomics.com/datasets/fresh-frozen-mouse-brain-for-xenium-explorer-demo-1-standard,"Yao et al., A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain, Nature (2023)",https://doi.org/10.1111/jnc.70406/v1/review1
landing page or accession only - no direct file URL resolved,zeisel2018_visium,10x_MB(S-P),10X Visium,mouse,brain coronal section,https://www.10xgenomics.com/resources/datasets/,"Zeisel et al., Molecular architecture of the mouse nervous system, Cell (2018)",
landing page or accession only - no direct file URL resolved,garridotrigo2023_cosmx,30 human lung samples (Fov1 to Fov30),CosMx Spatially Molecular Imaging (SMI),human,lung,GSM7473683,"Garrido-Trigo et al., Macrophage and neutrophil heterogeneity at single-cell spatial resolution in human inflammatory bowel disease, Nat Commun (2023)",https://doi.org/10.1101/2022.11.28.518139
landing page or accession only - no direct file URL resolved,wang2022_stereo_2,3D Drosophila embryonic and larval Stereo-seq dataset,Stereo-seq,Drosophila,Embryos and larvae,STDS0000060,"Wang et al., High-resolution 3D spatiotemporal transcriptomic maps of developing Drosophila embryos and larvae, Dev Cell (2022)",https://doi.org/10.1016/j.devcel.2022.04.006
landing page or accession only - no direct file URL resolved,gut2018_4i,4i datasets,4i,,,https://github.com/scverse/squidpy,"Gut et al., Multiplexed protein maps link subcellular organization to cellular states, Science (2018)",https://doi.org/10.3410/f.733753838.793549113
landing page or accession only - no direct file URL resolved,miyoshi2024_visium,5xFAD Mouse 10x Visium,10x Visium,Mouse,Brain cortex,GSE233208,"Miyoshi et al., Spatial and single-nucleus transcriptomic analysis of genetic and sporadic forms of Alzheimer’s disease, Nat. Genet. (2024)",https://doi.org/10.1101/2023.07.24.550282
landing page or accession only - no direct file URL resolved,damond2019map,A map of human type 1 diabetes progression by imaging mass cytometry,IMC,human,,https://data.mendeley.com/datasets/cydmwsfztj/1,A map of human type 1 diabetes progression by imaging mass cytometry,https://www.cell.com/cell-metabolism/fulltext/S1550-4131(18)30691-0
landing page or accession only - no direct file URL resolved,tang2024_unknown,AD/HC spatial data,,mouse,brain,https://singlecell.broadinstitute.org/single_cell/study/SCP1375/integrative-in-situ-mapping-of-single-cell-transcriptional-states-and-tissue-histopathology-in-an-alzheimer-disease-model#study-download,"Tang et al., Search and match across spatial omics samples at single-cell resolution, Nature Methods (2024)",https://doi.org/10.1038/s41592-024-02410-7
landing page or accession only - no direct file URL resolved,ad_hc_spatial_da2025_unknown,AD/HC spatial data,,mouse,brain,https://singlecell.broadinstitute.org/single_cell/study/SCP1375/integrative-in-situ-mapping-of-single-cell-transcriptional-states-and-tissue-histopathology-in-an-alzheimer-disease-model#study-download,VISTA Uncovers Missing Gene Expression and Spatial-induced Information for Spatial Transcriptomic Data Analysis,https://doi.org/10.1101/2024.08.26.609718
landing page or accession only - no direct file URL resolved,aibs_merfish_dat2023_vizgen_mersc,AIBS MERFISH dataset,Vizgen MERSCOPE platform,mouse,whole adult mouse brain,https://doi.org/10.35077/g.610,A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain,https://doi.org/10.1101/2023.03.06.531121
landing page or accession only - no direct file URL resolved,additional_patie_visium,Additional Patient Sample (Visium ST),Visium and PhenoCycler,Human,Soft palate OPSCC tumor and healthy paired sample,https://doi.org/10.48610/698bb9e,,
landing page or accession only - no direct file URL resolved,zeisel2018_singlecell_r_2,Adolescent mouse brain single-cell RNA sequencing reference,Single-cell RNA sequencing,Mouse,Mouse nervous system,http://mousebrain.org/adolescent/downloads.html,"Zeisel et al., Molecular architecture of the mouse nervous system, Cell (2018)",
landing page or accession only - no direct file URL resolved,zheng2017_10x_scrnaseq,Adult Mouse Brain (FFPE) dataset,10x scRNA-seq platform,mouse,brain,https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-ffpe-1standard-1-3-0,"Zheng et al., Massively parallel digital transcriptional profiling of single cells, Nat Commun (2017)",https://doi.org/10.3410/f.727212325.793533466
landing page or accession only - no direct file URL resolved,adult_mouse_brai_spatial_tran,Adult Mouse Brain Section 2 (Coronal),Spatial Transcriptomics,Human,breast cancer,https://www.10xgenomics.com/resources/datasets/,,
landing page or accession only - no direct file URL resolved,hu2021_visium_2,Adult mouse brain coronal section dataset,10x Visium,mouse,brain coronal section,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Adult_Mouse_Brain,"Hu et al., SpaGCN: integrating gene expression, spatial location and histology to identify spatial domains and spatially variable genes by graph convolutional network, Nat Methods (2021)",
landing page or accession only - no direct file URL resolved,lein2007_in_situ_hybr,Allen Brain Atlas (ABA) in situ hybridization reference data,in situ hybridization,mouse,brain,https://github.com/brainglobe/brainrender,"Lein et al., Genome-wide atlas of gene expression in the adult mouse brain, Nature (2007)",https://doi.org/10.3410/f.1057954.519771
landing page or accession only - no direct file URL resolved,yao2023_merfish,Allen Brain Cell Atlas (ABC Atlas),MERFISH,Mouse,Brain,638850,"Yao et al., A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain, Nature (2023)",https://doi.org/10.1111/jnc.70406/v1/review1
landing page or accession only - no direct file URL resolved,yao2023_vizgen_mersc,Allen Brain Cell Atlas dataset (Yao et al. 2023 / 641 mouse brain sections dataset),Vizgen MERSCOPE,mouse,brain,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,"Yao et al., A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain, Nature (2023)",https://doi.org/10.1111/jnc.70406/v1/review1
landing page or accession only - no direct file URL resolved,moffitt2018_smfish,Allen smFISH,smFISH,mouse,preoptic region of the hypothalamus,https://datadryad.org/stash/dataset/doi:10.5061/dryad.8t8s248,"Moffitt et al., Molecular, spatial, and functional single-cell profiling of the hypothalamic preoptic region, Science (2018)",https://doi.org/10.3410/f.734323419.793574573
landing page or accession only - no direct file URL resolved,navarro2020_spatial_tran,Alzheimer disease mouse brain mitochondrial stress dataset,Spatial Transcriptomics,Mouse,brain,https://doi.org/10.17632/6s959w2zyr.1y,"Navarro et al., Spatial Transcriptomics Reveals Genes Associated with Dysregulated Mitochondrial Functions and Stress Signaling in Alzheimer Disease, iScience. (2020)",https://doi.org/10.1016/j.isci.2020.101556
landing page or accession only - no direct file URL resolved,li2021_scatacseq,Atlas of gene regulatory elements in adult mouse cerebrum,scATAC-seq,Mouse,Cerebrum,http://catlas.org/mousebrain/#!/downloads,"Li et al., An atlas of gene regulatory elements in adult mouse cerebrum, Nature (2021)",https://doi.org/10.1242/prelights.22481
landing page or accession only - no direct file URL resolved,rumberger2025automated,Automated classification of cellular expression in multiplexed imaging data with Nimbus,MIBI,human,breast,https://huggingface.co/datasets/JLrumberger/Pan-Multiplex/tree/main,Automated classification of cellular expression in multiplexed imaging data with Nimbus,https://www.nature.com/articles/s41592-025-02826-9
landing page or accession only - no direct file URL resolved,lust2022_stereo,Axolotl Telencephalon Stereo-seq,Stereo-seq,Axolotl,Telencephalon,https://db.cngb.org/stomics/artista/,"Lust et al., Single-cell analyses of axolotl telencephalon organization, neurogenesis, and regeneration, Science (2022)",https://doi.org/10.1126/science.abp9262
landing page or accession only - no direct file URL resolved,ni2022_10x_genomics,BCDC,10x Genomics,human,breast cancer: ductal carcinoma in situ,https://www.10xgenomics.com/datasets/human-breast-cancer-ductal-carcinoma-in-situ-invasive-carcinoma-ffpe-1-standard-1-3-0,"Ni et al., Spotclean adjusts for spot swapping in spatial transcriptomics data, Nat Commun (2022)",https://doi.org/10.1038/s41467-022-30587-y
landing page or accession only - no direct file URL resolved,moffitt2018_3d_gene_expr,BDTNP dataset,3D gene expression (BDTNP),Drosophila,Embryo,GSE113576,"Moffitt et al., Molecular, spatial, and functional cell typing of the mammalian central nervous system through sequential fluorescence in situ hybridization, Science (2018)",
landing page or accession only - no direct file URL resolved,chen2022_st,BGI STOmics mouse brain dataset,BGI STOmics,Mus musculus,Brain,10.26036/CNP0001543,"Chen et al., Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays, Cell (2022)",https://doi.org/10.3410/f.742107472.793593483
landing page or accession only - no direct file URL resolved,xu2024_10x_genomics,BRCA,10x Genomics,human,breast cancer,https://www.10xgenomics.com/datasets/human-breast-cancer-block-a-section-1-1-standard-1-1-0,"Xu et al., SEDR: unsupervised spatially embedded deep representation of spatial transcriptomics, Gen Med (2024)",
landing page or accession only - no direct file URL resolved,brca_dataset_10x_genomics,BRCA dataset,10x Genomics,human,breast cancer,https://support.10xgenomics.com/spatialgene-expression/datasets,,
landing page or accession only - no direct file URL resolved,baristaseq_st,BaristaSeq,BaristaSeq,mouse,primary visual cortex (VISp),https://github.com/spacetx-spacejam/data,,
landing page or accession only - no direct file URL resolved,brbi2022_codex,Barrett's oesophagus dataset,CODEX,Human,Barrett's oesophagus,https://datadryad.org/stash/share/1OQtxew0Unh3iAdP-ELew-ctwuPTBz6Oy8uuyxqliZk,"Brbić et al., Annotation of spatially resolved single-cell data with STELLAR, Nat. Methods (2022)",https://doi.org/10.1038/s41592-022-01651-8
landing page or accession only - no direct file URL resolved,braun2023_scrnaseq,"Braun et al., 2023 dataset",scRNA-seq,human,brain,https://github.com/linnarsson-lab/developing-human-brain/,"Braun et al., Comprehensive cell atlas of the first-trimester developing human brain, Science (2023)",https://doi.org/10.1126/science.adf1226
landing page or accession only - no direct file URL resolved,andersson2021_visium,"Breast Cancer Dataset (HER2 Breast Cancer samples A3, B3, B6, D1, D2, D3, D5, E1)",Visium,human,breast tumor,github.com/almaan/her2st,"Andersson et al., Spatial deconvolution of HER2-positive breast cancer delineates tumor-associated cell type interactions, Nat Commun (2021)",https://doi.org/10.1038/s41467-021-26271-2
landing page or accession only - no direct file URL resolved,breast_cancer_br2024_visium,Breast cancer (BRCA) dataset (10x Genomics Visium),10x Genomics Visium,human,breast cancer,https://10xgenomics.com/resources/datasets/human-ovarian-cancer-whole-transcriptome-analysis-stains-dapi-anti-pan-ck-anti-cd-45-1-standard-1-2-0,SpaTopic: A statistical learning framework for exploring tumor spatial architecture from spatially resolved transcriptomic data,https://doi.org/10.1126/sciadv.adp4942
landing page or accession only - no direct file URL resolved,breast_cancer_bl2022_visium,Breast cancer block A section 1 (10x Genomics),Visium,Human,Breast cancer,https://www.10xgenomics.com/resources/datasets,TIST: Transcriptome and Histopathological Image Integrative Analysis for Spatial Transcriptomics,https://doi.org/10.1016/j.gpb.2022.11.012
landing page or accession only - no direct file URL resolved,he2020_st,Breast cancer cohort 1,ST,,breast cancer,https://data.mendeley.com/datasets/29ntw7sh4r/5,"He et al., Integrating spatial gene expression and breast tumour morphology via deep learning, Nature Biomedical Engineering (2020)",https://doi.org/10.1038/s41551-020-0578-x
landing page or accession only - no direct file URL resolved,andersson2020_spatial_tran,Breast cancer spatial transcriptomics slides,spatial transcriptomics,human,breast cancer,https://github.com/almaan/her2st,"Andersson et al., Single-cell and spatial transcriptomics enables probabilistic inference of cell type topography, Commun. Biol. (2020)",https://doi.org/10.1038/s42003-020-01247-y
landing page or accession only - no direct file URL resolved,breastcancerilc__xenium,BreastCancerILC and BreastCancerIDC,Xenium,Human,Breast,https://www.10xgenomics.com/datasets/ffpe-human-breast-with-pre-designed-panel-1-standard/,,
landing page or accession only - no direct file URL resolved,brugia_malayi_mi_visium,Brugia malayi miniature-ST dataset,Visium Spatial Gene Expression (10X Genomics),Brugia malayi,"Posterior region of adult female worms (ovary, early embryos/uterus, digestive tract, body wall)",NCBI SRA PRJNA870734; Mendeley Data 10.17632/8f62vydg3z.1,,
landing page or accession only - no direct file URL resolved,klepikova2016_rnaseq,Bulk RNA-seq developmental transcriptome,RNA-seq,Arabidopsis thaliana,Developmental stages/mature floral organs,PRJNA314076,"Klepikova et al., A high resolution map of the Arabidopsis thaliana developmental transcriptome based on RNA-seq profiling, Plant J. (2016)",https://doi.org/10.3410/f.726666866.793559922
