dataset_id,platform,species,tissue,download_url,original_publication_link
cho2021_seqscope_no,Seq-Scope / NovaScope,,,,https://doi.org/10.1016/j.cell.2021.05.010
chen2013_sleeping_bea,Sleeping Beauty lacZ transposons / lacZ imaging,mouse,,,https://doi.org/10.1186/1471-2164-14-215
xu2024_iss,Spatial Transcriptomics / ISS,Human,Human embryonic heart,,https://doi.org/10.1093/nar/gkad933
rat_kidney_st_se2022_visium,Visium (10x Genomics) and Chromium Single Cell,rat,kidney,,https://doi.org/10.1093/dnares/dsac007
visium_and_rna_r2025_visium,Visium / RRST,human,lung,,https://doi.org/10.1038/s41467-025-65704-0
to2024_visium,"Visium CytAssist, CARTANA HS",Human,Limb and cranium,,
gse1990662022_visium,Visium Spatial Gene Expression Slides and Reagent Kits (10X Genomics),mouse,brain,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199066/suppl/GSE199066_All.counts.exp.txt.gz,https://doi.org/10.3389/fnins.2022.1086168
spatial_transcri_visium_9,Visium and AFADESI-MSI,Human,Injured brain tissue (brain contusion),https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE223245&format=file,
azx_dosed_rat_lu2026_visium,Visium and DESI MSI,Rat,Lung,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE312168&format=file,https://doi.org/10.1038/s41467-025-68003-w
visium_spatial_t2024_visium,Visium for FFPE and CytAssist,human,lung,https://zenodo.org/api/records/10012934/files/adata_vis_human_spatial_paper.h5ad/content,https://doi.org/10.1126/sciadv.adl5473
lawrence2024_visium,"Visium, CARTANA HS",Human,Spine,,
whole_embryo_spa2026_visium,"Visium, Xenium, RareCyte, MACSIMA",human,whole embryo,,https://doi.org/10.64898/2026.03.30.714220
tumor_tma_1_ttma2025_xenium,"Xenium, MERSCOPE, CosMx, 10x Chromium Single Cell Gene Expression FLEX",Human,Tumor and normal tissue microarrays (17 tumor and 16 normal types),https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE308145&format=file,https://doi.org/10.1038/s41467-025-64990-y
khong2017_biochemical,biochemical purification and sequencing,,stress granules,,https://doi.org/10.3410/f.732110920.793547391
itzhak2016_differential,differential centrifugation and SILAC,human,HeLa cell line,,https://doi.org/10.7554/elife.16950.025
hirst2018_differential,differential centrifugation and SILAC,human,"HeLa cell lines (wild type, AP5Z1-KO1, AP5Z1-KO2)",,https://doi.org/10.3410/f.732583681.793542576
lin2023_imaging_mask,imaging / mask geometries,human,colorectal cancer (CRC),,https://doi.org/10.3410/f.742499353.793597974
satija2015_in_situ_hybr,in situ hybridization (ISH) / binarized reference atlas,zebrafish,embryo,https://www.dropbox.com/s/ev78jelev0jgu5s/seurat_files_zfin.zip?dl=1,https://doi.org/10.3410/f.725432282.793514068
spatially_sorted2019_mcscrbseq_n,mcSCRB-seq / NextSeq 500,mouse,liver,,https://doi.org/10.1038/s42255-019-0109-9
rat_brain_tissue_st,nanoPOTS-TDP coupled with LCM and MALDI,rat,brain (cortex and hypothalamus),,
brink2020_tomo,scRNA-seq and Tomo-seq,mouse,gastruloids,,https://doi.org/10.3410/f.737396582.793577089
wu2021_single_cell,single cell and spatially resolved transcriptomics,Human,breast,,
garciaalonso2021_singlecell_a,single-cell and spatial reference maps,Human,uterus,,
zhao2022_slidednaseq,slide-DNA-seq and slide-RNA-seq,Mouse,Liver,,https://doi.org/10.3410/f.741322092.793591057
karaiskos2017_smfish_spat,smFISH / spatial transcriptomics atlas,Drosophila melanogaster,embryo,,
chen2020_spatial_tran_3,spatial transcriptomics and in situ sequencing,Mouse,brain,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152506/suppl/GSE152506_logCPM_counts.txt.gz,
joglekar2021_spatial_tran_2,spatial transcriptomics and long-read sequencing,Mouse,brain,,
human_tonsil_and_iss,timsTOF Pro2 / timsTOF SCP mass spectrometry coupled with laser microdissection (Deep Visual Proteomics),human,tonsil and skin,,
visel2007_transgenic_m,transgenic mice / lacZ,human and mouse,,,https://doi.org/10.1093/nar/gkl822
