model,model_paper_title,model_paper_link,dataset_id,usage,alias_in_model_paper
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,cords2023cancer,pretraining corpus (spora),cords2023cancer
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,cords2024cancer,pretraining corpus (spora),cords2024cancer
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,damond2019map,pretraining corpus (spora),damond2019map
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,danenberg2022breast,pretraining corpus (spora),danenberg2022breast
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,ehret2025shaking,pretraining corpus (spora),ehret2025shaking
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,fischer2023multiplex,pretraining corpus (spora),fischer2023multiplex
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,gupta2026single,pretraining corpus (spora),gupta2026single
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,hickey2023organization,pretraining corpus (spora),hickey2023organization
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,hoch2022multiplexed,pretraining corpus (spora),hoch2022multiplexed
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,hu2023single,pretraining corpus (spora),hu2023single
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,jackson2020single,pretraining corpus (spora),jackson2020single
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,lin2022multiplexed,pretraining corpus (spora),lin2022multiplexed
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,lin2023high,pretraining corpus (spora),lin2023high
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,liu2022reproducible,pretraining corpus (spora),liu2022reproducible
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,malchiodi2024natural,pretraining corpus (spora),malchiodi2024natural
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,meyer2025stratification,pretraining corpus (spora),meyer2025stratification
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,moldoveanu2022spatially,pretraining corpus (spora),moldoveanu2022spatially
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,monkman2024spatial,pretraining corpus (spora),monkman2024spatial
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,phillips2021immune,pretraining corpus (spora),phillips2021immune
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,rigamonti2024integrating,pretraining corpus (spora),rigamonti2024integrating
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,ruf2023tumor,pretraining corpus (spora),ruf2023tumor
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,rumberger2025automated,pretraining corpus (spora),rumberger2025automated
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,salie2025spatial,pretraining corpus (spora),salie2025spatial
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,schulz2018simultaneous,pretraining corpus (spora),schulz2018simultaneous
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,schulz2024immucan,pretraining corpus (spora),schulz2024immucan
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,schurch2020coordinated,pretraining corpus (spora),schurch2020coordinated
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,xiao2022multiplexed,pretraining corpus (spora),xiao2022multiplexed
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,zhuhuman2025spatial,pretraining corpus (spora),zhuhuman2025spatial
KRONOS,A Foundation Model for Spatial Proteomics,https://doi.org/10.48550/arXiv.2506.03373,hubmap_spleen_thymus_codex,pretraining,
KRONOS,A Foundation Model for Spatial Proteomics,https://doi.org/10.48550/arXiv.2506.03373,immunoatlas,pretraining,
KRONOS,A Foundation Model for Spatial Proteomics,https://doi.org/10.48550/arXiv.2506.03373,ibex_zenodo_5244551,pretraining,
KRONOS,A Foundation Model for Spatial Proteomics,https://doi.org/10.48550/arXiv.2506.03373,celldive_idr,pretraining,
KRONOS,A Foundation Model for Spatial Proteomics,https://doi.org/10.48550/arXiv.2506.03373,kronos_private_cohorts,pretraining,
KRONOS,A Foundation Model for Spatial Proteomics,https://doi.org/10.48550/arXiv.2506.03373,shaban2024_chl_codex,"benchmark (cell phenotyping, cHL)",
KRONOS,A Foundation Model for Spatial Proteomics,https://doi.org/10.48550/arXiv.2506.03373,yeo2024_dlbcl_multiomics,"benchmark (cell phenotyping, DLBCL-1/DLBCL-2)",
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,cords2024cancer,"benchmark (subtyping/grading, lung)",Cords et al. 42
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,danenberg2022breast,"benchmark (ER status/grading, survival)",Danenberg et al. 6
PMC10790257,PMC10790257,PMC10790257,maynard2021_visium,analysis/benchmark,human dorsolateral prefrontal cortex (DLPFC) dataset
PMC10790257,PMC10790257,PMC10790257,wang2022_visium,analysis/benchmark,human ovarian cancer dataset
PMC10790257,PMC10790257,PMC10790257,chen2022_stereo,analysis/benchmark,Stereo-seq dataset
PMC10790257,PMC10790257,PMC10790257,stickels2021_slideseq,analysis/benchmark,Slide-seqV2 dataset
PMC10790257,PMC10790257,PMC10790257,visium_dataset_f_visium,analysis/benchmark,Visium dataset for human breast cancer
bio_ecfd39cd6dd6,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,maynard2021_visium,analysis/benchmark,10xHPC
bio_ecfd39cd6dd6,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,moffitt2018_merfish,analysis/benchmark,MERMPH
bio_ecfd39cd6dd6,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,chen2022_stereo,analysis/benchmark,StereoME
PMC12695652,PMC12695652,PMC12695652,yao2023_merfish,analysis/benchmark,MERFISH mouse brain
PMC12695652,PMC12695652,PMC12695652,he2022_cosmx,analysis/benchmark,CosMx human liver
PMC12695652,PMC12695652,PMC12695652,xenium_human_col_xenium,analysis/benchmark,Xenium human lung
PMC9825193,PMC9825193,PMC9825193,maynard2021_visium,analysis/benchmark,Human DLPFCs
PMC9825193,PMC9825193,PMC9825193,mouse_brain_tiss_visium,analysis/benchmark,Human breast cancer dataset
PMC9825193,PMC9825193,PMC9825193,gut2018_4i,analysis/benchmark,4i dataset
PMC9825193,PMC9825193,PMC9825193,keren2019_mibi,analysis/benchmark,MIBI-TOF dataset
PMC9825193,PMC9825193,PMC9825193,moffitt2018_merfish,analysis/benchmark,MERFISH dataset
PMC9825193,PMC9825193,PMC9825193,stickels2021_slideseq,analysis/benchmark,SlideseqV2 dataset
PMC9825193,PMC9825193,PMC9825193,chen2022_stereo,analysis/benchmark,Stereo-seq dataset for mouse olfactory bulb tissue
PMC11739434,PMC11739434,PMC11739434,he2022_cosmx,analysis/benchmark,NanoString FFPE NSCLC dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,mirzazadeh2023_smallintestine_visium,analysis/benchmark,Human small intestine Visium dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,villacampa2021_visium,analysis/benchmark,Human ovarian carcinosarcoma Visium dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,janesick2023_visium,analysis/benchmark,Human breast cancer Visium and Xenium dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,he2022_visium,analysis/benchmark,Breast cancer dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,barkley2022_visium,analysis/benchmark,Breast cancer dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,garbarino2023_visium,analysis/benchmark,Colorectal liver cancer dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,wu2021_visium,analysis/benchmark,Liver cancer dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,figiel2023_visium,analysis/benchmark,Prostate cancer dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,sountoulidis2023_visium,analysis/benchmark,Embryonic lung dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,engblom2023_visium,analysis/benchmark,Sleep apnea tonsil sample dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,oliveira2024_visiumhd,analysis/benchmark,Human colorectal cancer dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,in_house_tnbc_pa2025_xenium,analysis/benchmark,In-house TNBC patient-derived xenograft
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,kleshchevnikov2022_visium,analysis/benchmark,Mouse brain Visium dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,kumar2023_visium,analysis/benchmark,Normal human breast histology and ST dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,kuppe2022_visium,analysis/benchmark,Human myocardial infarction dataset
PMC12240810,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,https://doi.org/10.1038/s41592-025-02707-1,kanemaru2023_visium,analysis/benchmark,Normal human heart sample dataset
PMC11725393,PMC11725393,PMC11725393,berglund2018_unknown,analysis/benchmark,Human prostate cancer
PMC11725393,PMC11725393,PMC11725393,maniatis2019_unknown,analysis/benchmark,Mouse ALS
PMC11725393,PMC11725393,PMC11725393,moncada2020_st,analysis/benchmark,Human primary pancreatic cancer
PMC11725393,PMC11725393,PMC11725393,sthl2016_st,analysis/benchmark,Mouse olfactory bulb
PMC11725393,PMC11725393,PMC11725393,maynard2021_visium,analysis/benchmark,Human DLPFC
PMC11725393,PMC11725393,PMC11725393,stickels2021_slideseq,analysis/benchmark,Mouse cortex
PMC11725393,PMC11725393,PMC11725393,wang2018_starmap,analysis/benchmark,Mouse visual cortex
PMC11725393,PMC11725393,PMC11725393,moffitt2018_merfish,analysis/benchmark,Mouse hypothalamus
PMC11725393,PMC11725393,PMC11725393,andersson2021_st,analysis/benchmark,Human HER2-positive breast tumor
PMC11725393,PMC11725393,PMC11725393,ji2020_st,analysis/benchmark,Human cutaneous squamous cell carcinoma
PMC11725393,PMC11725393,PMC11725393,thrane2018_st,analysis/benchmark,Human cutaneous malignant melanoma
PMC11725393,PMC11725393,PMC11725393,meylan2022_visium,analysis/benchmark,Human clear cell renal cell carcinoma primary tumors
PMC11725393,PMC11725393,PMC11725393,janesick2023_xenium,analysis/benchmark,Human breast cancer Xenium
PMC11725393,PMC11725393,PMC11725393,rodriques2019_slideseq,analysis/benchmark,Mouse hippocampus
PMC11725393,PMC11725393,PMC11725393,he2024_unknown,analysis/benchmark,Human breast cancer Starfysh
PMC11725393,PMC11725393,PMC11725393,kleshchevnikov2022_unknown,analysis/benchmark,Mouse brain Starfysh
PMC11725393,PMC11725393,PMC11725393,marklund2022_unknown,analysis/benchmark,Human prostate cancer Starfysh
PMC11725393,PMC11725393,PMC11725393,zeisel2015_unknown,analysis/benchmark,Mouse somatosensory cortex
PMC11725393,PMC11725393,PMC11725393,saunders2018_unknown,analysis/benchmark,Mouse pre-frontal cortex
PMC11725393,PMC11725393,PMC11725393,codeluppi2018_osmfish,analysis/benchmark,Mouse somatosensory cortex osmFISH
PMC11725393,PMC11725393,PMC11725393,tasic2018_unknown,analysis/benchmark,Mouse visual cortex stPlus
PMC11725393,PMC11725393,PMC11725393,chatterjee2018_unknown,analysis/benchmark,Mouse pre-optic region
PMC11725393,PMC11725393,PMC11725393,nagy2020_unknown,analysis/benchmark,Human DLPFC CellDART
PMC11725393,PMC11725393,PMC11725393,travaglini2020_visium,analysis/benchmark,Human lung CellDART
PMC11725393,PMC11725393,PMC11725393,lopez2022_unknown,analysis/benchmark,Mouse lymph node and tumor DestVI
PMC11725393,PMC11725393,PMC11725393,miao2021_unknown,analysis/benchmark,Mouse kidney SD2
PMC11725393,PMC11725393,PMC11725393,zhao2021_unknown,analysis/benchmark,Mouse lung TransformerST
PMC11725393,PMC11725393,PMC11725393,chen2022_stereo,analysis/benchmark,Mouse olfactory bulb Stereo-seq
PMC11725393,PMC11725393,PMC11725393,asp2019_st,analysis/benchmark,Human heart GTAD
PMC11725393,PMC11725393,PMC11725393,barkley2022_unknown,analysis/benchmark,Endometrial cancer GTAD
PMC11725393,PMC11725393,PMC11725393,guilliams2022_unknown,analysis/benchmark,Mouse liver STEM
PMC11725393,PMC11725393,PMC11725393,chen2022_visium,analysis/benchmark,Human MTG STEM
PMC11725393,PMC11725393,PMC11725393,janesick2023_unknown,analysis/benchmark,Mouse brain ENVI
PMC11725393,PMC11725393,PMC11725393,pijuansala2019_unknown,analysis/benchmark,Mouse gastrulation
PMC11725393,PMC11725393,PMC11725393,yao2021_unknown,analysis/benchmark,Mouse primary motor cortex
PMC11725393,PMC11725393,PMC11725393,haviv2024_xenium,analysis/benchmark,Mouse brain 10x Xenium ENVI
PMC11725393,PMC11725393,PMC11725393,zeng2023_starmap,analysis/benchmark,Mouse brain STARmap PLUS
PMC11725393,PMC11725393,PMC11725393,benchetrit2023_spots,analysis/benchmark,Mouse spleen SpatialGlue
PMC11725393,PMC11725393,PMC11725393,zhang2023_spatial_atac,analysis/benchmark,Mouse brain spatial ATAC-RNA-seq
PMC11725393,PMC11725393,PMC11725393,long2024_visium,analysis/benchmark,Human lymph node Visium RNA and protein coprofiling
PMC10832355,PMC10832355,PMC10832355,gut2018_4i,analysis/benchmark,4i dataset
PMC10832355,PMC10832355,PMC10832355,stickels2021_slideseq,analysis/benchmark,Slide-seqV2 mouse hippocampus data
PMC10832355,PMC10832355,PMC10832355,lu2021_merfish,analysis/benchmark,MERFISH mouse liver dataset
PMC10783797,PMC10783797,PMC10783797,visium_spatial_t_visium,analysis/benchmark,Visium spatial transcriptomics data
SORBET,SORBET: Automated cell-neighborhood analysis of spatial transcriptomics or proteomics for interpretable sample classification via GNN,https://doi.org/10.1101/2023.12.30.573739,melanoma_dataset_cosmx,analysis/benchmark,Melanoma dataset
SORBET,SORBET: Automated cell-neighborhood analysis of spatial transcriptomics or proteomics for interpretable sample classification via GNN,https://doi.org/10.1101/2023.12.30.573739,lin2021_imc,analysis/benchmark,NSCLC dataset
SORBET,SORBET: Automated cell-neighborhood analysis of spatial transcriptomics or proteomics for interpretable sample classification via GNN,https://doi.org/10.1101/2023.12.30.573739,schrch2020_codex,analysis/benchmark,CRC dataset
PMC9684472,PMC9684472,PMC9684472,maynard2021_visium,analysis/benchmark,human dorsolateral prefrontal cortex data
PMC9684472,PMC9684472,PMC9684472,rodriques2019_slideseq,analysis/benchmark,mouse cerebellum data
PMC9684472,PMC9684472,PMC9684472,stickels2021_slideseq,analysis/benchmark,mouse hippocampus data
PMC9684472,PMC9684472,PMC9684472,andersson2021_st,analysis/benchmark,HER2-positive breast tumor data
PMC9684472,PMC9684472,PMC9684472,moffitt2018_merfish,analysis/benchmark,MERFISH dataset
PMC11607964,PMC11607964,PMC11607964,chen2022_stereo,analysis/benchmark,mouse olfactory bulb
PMC11607964,PMC11607964,PMC11607964,stickels2021_slideseq,analysis/benchmark,mouse hippocampus
PMC11607964,PMC11607964,PMC11607964,codeluppi2018_osmfish,analysis/benchmark,mouse somatosensory cortex
PMC11607964,PMC11607964,PMC11607964,allen2023_aging_brain_merfish,analysis/benchmark,mouse frontal cortex
PMC11399094,PMC11399094,PMC11399094,human_lymph_node_visium,analysis/benchmark,human lymph node dataset (sections A1 and D1)
PMC11399094,PMC11399094,PMC11399094,zhang2023_spatial_atac,analysis/benchmark,mouse brain dataset (spatial ATAC-RNA-seq and CUT&Tag-RNA-seq)
PMC11399094,PMC11399094,PMC11399094,benchetrit2023_visium,analysis/benchmark,mouse spleen dataset (SPOTS)
PMC11429933,PMC11429933,PMC11429933,spatial_mux_seq__spatialmuxse,analysis/benchmark,"spatial-Mux-seq datasets (E13_50_µm_1, E13_50_µm_2, E13_50_µm_3, E13_20_µm, P21_20_µm, 5M_20_µm)"
PMC10683105,PMC10683105,PMC10683105,wu2021_visium_2,analysis/benchmark,Visium
PMC10683105,PMC10683105,PMC10683105,phenocycler_fusi_phenocycler,analysis/benchmark,PhenoCycler Fusion
PMC12640549,PMC12640549,PMC12640549,maynard2021_visium,analysis/benchmark,DLPFC
PMC12640549,PMC12640549,PMC12640549,hallal2024_visium,analysis/benchmark,Human Glioblastoma
PMC12640549,PMC12640549,PMC12640549,lein2007_visium,analysis/benchmark,Adult Mouse Brain
PMC12640549,PMC12640549,PMC12640549,chen2022_stereo,analysis/benchmark,Mouse Embryo
PMC12640549,PMC12640549,PMC12640549,vickovic2019_stereo,analysis/benchmark,Mouse Olfactory Bulb (Stereo-seq)
PMC12640549,PMC12640549,PMC12640549,rodriques2019_slideseq,analysis/benchmark,Mouse Olfactory Bulb (Slide-seqV2)
PMC12640549,PMC12640549,PMC12640549,moffitt2018_merfish,analysis/benchmark,MERFISH Mouse Hypothalamic Sections
PMC10849194,PMC10849194,PMC10849194,maynard2021_visium,analysis/benchmark,Human dorsolateral prefrontal cortex (DLPFC) datasets
PMC10849194,PMC10849194,PMC10849194,codeluppi2018_osmfish,analysis/benchmark,osmFISH dataset
PMC10849194,PMC10849194,PMC10849194,stickels2021_slideseq,analysis/benchmark,Mouse hippocampus Slide-seqV2 dataset
PMC10849194,PMC10849194,PMC10849194,sthl2016_st,analysis/benchmark,HER2-positive breast tumor data
PMC12729201,PMC12729201,PMC12729201,maynard2021_visium,analysis/benchmark,Human dorsolateral prefrontal cortex dataset (DLPFC)
PMC12729201,PMC12729201,PMC12729201,buache2011_visium,analysis/benchmark,Human breast cancer dataset (HBC)
PMC12729201,PMC12729201,PMC12729201,lein2007_visium,analysis/benchmark,Mouse brain dataset
PMC12729201,PMC12729201,PMC12729201,chen2022_stereo,analysis/benchmark,Mouse olfactory bulb (MOB) dataset (Stereo-seq)
PMC12729201,PMC12729201,PMC12729201,rodriques2019_slideseq,analysis/benchmark,Mouse olfactory bulb (MOB) dataset (Slide-seqV2)
PMC12729201,PMC12729201,PMC12729201,wang2018_starmap,analysis/benchmark,Mouse visual cortex dataset
PMC9977836,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",https://doi.org/10.1038/s41467-023-36796-3,maynard2021_visium,analysis/benchmark,LIBD human dorsolateral prefrontal cortex (DLPFC) dataset
PMC9977836,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",https://doi.org/10.1038/s41467-023-36796-3,chen2022_stereo,analysis/benchmark,Mouse olfactory bulb dataset
PMC9977836,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",https://doi.org/10.1038/s41467-023-36796-3,rodriques2019_slideseq,analysis/benchmark,Mouse hippocampus dataset
PMC9977836,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",https://doi.org/10.1038/s41467-023-36796-3,mouse_breast_can2023_visium,analysis/benchmark,Mouse breast cancer serial sections
PMC9977836,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",https://doi.org/10.1038/s41467-023-36796-3,kleshchevnikov2022_visium,analysis/benchmark,Human lymph node tissue data
PMC9977836,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST",https://doi.org/10.1038/s41467-023-36796-3,maynard2021_10x_genomics,analysis/benchmark,Human brain sample DLPFC snRNA-seq reference
PMC12265741,PMC12265741,PMC12265741,malignant_mesoth_visium,analysis/benchmark,tonsil1
PMC12265741,PMC12265741,PMC12265741,wu2021_st,analysis/benchmark,triple-negative breast cancer (TNBC) tissue
PMC12265741,PMC12265741,PMC12265741,thrane2018_st,analysis/benchmark,human melanoma
PMC11494180,PMC11494180,PMC11494180,maynard2021_visium,analysis/benchmark,Human DLPFC data
PMC11068546,PMC11068546,PMC11068546,maynard2021_visium,analysis/benchmark,12 published human brain samples (151507 to 151676)
PMC11068546,PMC11068546,PMC11068546,four_private_hum_visium,analysis/benchmark,"Four private human brain samples (2-5, 2-8, 18-64, T4857)"
PMC11068546,PMC11068546,PMC11068546,mantri2021_visium,analysis/benchmark,Four chicken heart samples (D4-D14)
PMC11068546,PMC11068546,PMC11068546,sthl2016_spatial_tran,analysis/benchmark,Eight HER2-positive breast tumor samples (A1-H1)
PMC11068546,PMC11068546,PMC11068546,garridotrigo2023_cosmx,analysis/benchmark,30 human lung samples (Fov1 to Fov30)
PMC11142628,PMC11142628,PMC11142628,maynard2021_visium,analysis/benchmark,10x Visium human dorsolateral prefrontal cortex (DLPFC) data
PMC11142628,PMC11142628,PMC11142628,stickels2020_slideseq,analysis/benchmark,Slide-seqV2 mouse hippocampus dataset
PMC11142628,PMC11142628,PMC11142628,ma2023_10x_genomics,analysis/benchmark,psoriasis skin ST dataset
PMC11142628,PMC11142628,PMC11142628,sthl2016_visium,analysis/benchmark,mouse main olfactory bulb (MOB) dataset
PMC12503342,A graph neural network-based spatial multi-omics data integration method for deciphering spatial domains,https://doi.org/10.1371/journal.pcbi.1013546,jiang2023_misarseq,analysis/benchmark,MISAR-seq mouse embryonic brain dataset
PMC12503342,A graph neural network-based spatial multi-omics data integration method for deciphering spatial domains,https://doi.org/10.1371/journal.pcbi.1013546,zhang2023_spatial_atac,analysis/benchmark,Spatial ATAC-RNA-seq mouse brain dataset
PMC11702642,PMC11702642,PMC11702642,tonsil_dataset_f_visiumhd,analysis/benchmark,Tonsil dataset (Figs. 1 & 2)
PMC11702642,PMC11702642,PMC11702642,ebv_positive_vs__geomx,analysis/benchmark,DLBCL tissue for SignalStar-GeoMx
PMC11702642,PMC11702642,PMC11702642,validation_cohor_cosmx,analysis/benchmark,DLBCL tissue for CODEX-CosMx
PMC12211972,PMC12211972,PMC12211972,maynard2021_visium,analysis/benchmark,DLPFC dataset
PMC12211972,PMC12211972,PMC12211972,wu2021_visium_2,analysis/benchmark,BRCA dataset
PMC12211972,PMC12211972,PMC12211972,chen2022_stereo,analysis/benchmark,mouse olfactory bulb dataset
